plant_nb	genotype	background	temperature	fluctuation	day.length	vernalization	survival.bolt	bolt	days.to.bolt	days.to.flower	rosette.leaf.num	cauline.leaf.num	blade.length.mm	total.leaf.length.mm	blade.ratio
1	fca-6	Ler	12	Var	8	NV	Y	Y	65	87	46	11	22.1	28.6	0.772727273
2	fca-6	Ler	12	Var	8	NV	Y	Y	66	85	41	9	15	27	0.555555556
3	fca-6	Ler	12	Var	8	NV	Y	Y	68	90	40	11	19.6	21.2	0.924528302
4	fca-6	Ler	12	Var	8	NV	Y	Y	68	92	51	17	32	45.3	0.706401766
5	fca-6	Ler	12	Var	8	NV	Y	Y	75	98	43	11	22	33.5	0.656716418
6	fca-6	Ler	12	Var	8	NV	Y	Y	77	99	45	10	24.3	36.7	0.662125341
7	fca-6	Ler	12	Var	8	NV	Y	Y	79	102	44	9	23.9	36.2	0.660220994
8	fca-6	Ler	12	Var	8	NV	Y	Y	79	100	49	10	25.5	38.2	0.667539267
1	fca-6	Ler	22	Con	16	NV	Y	Y	29	36	21	5	16.9	27.4	0.616788321
2	fca-6	Ler	22	Con	16	NV	Y	Y	31	38	22	7	18.7	29.2	0.640410959
3	fca-6	Ler	22	Con	16	NV	Y	Y	32	38	24	7	15.8	26.8	0.589552239
4	fca-6	Ler	22	Con	16	NV	Y	Y	33	40	24	7	17.8	29.1	0.611683849
5	fca-6	Ler	22	Con	16	NV	Y	Y	33	40	25	7	NA	NA	NA
6	fca-6	Ler	22	Con	16	NV	Y	Y	33	39	24	8	NA	NA	NA
7	fca-6	Ler	22	Con	16	NV	Y	Y	34	40	25	6	NA	NA	NA
8	fca-6	Ler	22	Con	16	NV	Y	Y	40	45	27	8	NA	NA	NA
1	fca-6	Ler	22	Con	8	NV	Y	Y	105	112	75	11	NA	NA	NA
2	fca-6	Ler	22	Con	8	NV	Y	Y	115	122	58	8	NA	NA	NA
3	fca-6	Ler	22	Con	8	NV	Y	Y	130	142	NA	NA	NA	NA	NA
4	fca-6	Ler	22	Con	8	NV	Y	Y	130	141	NA	NA	NA	NA	NA
5	fca-6	Ler	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
6	fca-6	Ler	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
7	fca-6	Ler	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
8	fca-6	Ler	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
1	fca-6	Ler	22	Var	16	NV	Y	Y	28	36	14	4	14.9	22.5	0.662222222
2	fca-6	Ler	22	Var	16	NV	Y	Y	28	35	13	2	NA	NA	NA
3	fca-6	Ler	22	Var	16	NV	Y	Y	28	35	11	NA	NA	NA	NA
4	fca-6	Ler	22	Var	16	NV	Y	Y	29	36	13	3	14.3	27.2	0.525735294
5	fca-6	Ler	22	Var	16	NV	Y	Y	29	36	14	4	14.1	26.1	0.540229885
6	fca-6	Ler	22	Var	16	NV	Y	Y	29	36	11	2	NA	NA	NA
7	fca-6	Ler	22	Var	16	NV	Y	Y	30	37	13	3	15.4	27.9	0.551971326
8	fca-6	Ler	22	Var	16	NV	Y	Y	32	36	12	3	NA	NA	NA
1	fca-6	Ler	22	Var	8	NV	Y	Y	68	75	38	6	35	57.9	0.604490501
2	fca-6	Ler	22	Var	8	NV	Y	Y	71	79	35	7	NA	NA	NA
3	fca-6	Ler	22	Var	8	NV	Y	Y	72	80	46	7	30.8	55.4	0.555956679
4	fca-6	Ler	22	Var	8	NV	Y	Y	72	80	42	9	NA	NA	NA
5	fca-6	Ler	22	Var	8	NV	Y	Y	76	83	43	8	NA	NA	NA
6	fca-6	Ler	22	Var	8	NV	Y	Y	77	84	49	8	23.3	49.3	0.472616633
7	fca-6	Ler	22	Var	8	NV	Y	Y	82	90	56	8	29.1	54	0.538888889
8	fca-6	Ler	22	Var	8	NV	Y	Y	88	97	52	6	NA	NA	NA
1	flc-3 FRI	Col FRI	12	Con	16	NV	Y	Y	26	39	10	1	8.2	13.1	0.625954198
2	flc-3 FRI	Col FRI	12	Con	16	NV	Y	Y	27	39	13	4	12.8	20.7	0.618357488
3	flc-3 FRI	Col FRI	12	Con	16	NV	Y	Y	28	43	12	4	9	15.5	0.580645161
4	flc-3 FRI	Col FRI	12	Con	16	NV	Y	Y	30	43	15	5	12.6	17.9	0.703910615
5	flc-3 FRI	Col FRI	12	Con	16	NV	Y	Y	31	43	13	4	12.8	22.2	0.576576577
6	flc-3 FRI	Col FRI	12	Con	16	NV	Y	Y	31	44	12	4	12	21.7	0.552995392
7	flc-3 FRI	Col FRI	12	Con	16	NV	Y	Y	31	43	12	3	13.4	23.3	0.575107296
8	flc-3 FRI	Col FRI	12	Con	16	NV	Y	Y	32	44	18	6	13.6	21.8	0.623853211
1	flc-3 FRI	Col FRI	12	Con	8	NV	Y	Y	66	85	52	9	19.6	35.2	0.556818182
2	flc-3 FRI	Col FRI	12	Con	8	NV	Y	Y	70	88	49	6	18	30.8	0.584415584
3	flc-3 FRI	Col FRI	12	Con	8	NV	Y	Y	70	90	50	7	19.4	33.1	0.586102719
4	flc-3 FRI	Col FRI	12	Con	8	NV	Y	Y	73	90	46	6	19.7	32.8	0.600609756
5	flc-3 FRI	Col FRI	12	Con	8	NV	Y	Y	82	105	55	7	20.1	30.6	0.656862745
6	flc-3 FRI	Col FRI	12	Con	8	NV	Y	Y	89	109	59	10	23.8	37.8	0.62962963
7	flc-3 FRI	Col FRI	12	Con	8	NV	Y	Y	90	111	59	12	31.4	49.7	0.631790744
8	flc-3 FRI	Col FRI	12	Con	8	NV	Y	Y	92	112	53	10	20.4	35.3	0.577903683
1	flc-3 FRI	Col FRI	12	Var	16	NV	Y	Y	29	42	13	3	11.7	17.2	0.680232558
2	flc-3 FRI	Col FRI	12	Var	16	NV	Y	Y	30	42	15	5	14.3	23.8	0.600840336
3	flc-3 FRI	Col FRI	12	Var	16	NV	Y	Y	31	43	17	5	14.7	25.4	0.578740157
4	flc-3 FRI	Col FRI	12	Var	16	NV	Y	Y	32	44	15	4	15.2	27.3	0.556776557
5	flc-3 FRI	Col FRI	12	Var	16	NV	Y	Y	32	46	16	4	19.2	20.5	0.936585366
6	flc-3 FRI	Col FRI	12	Var	16	NV	Y	Y	32	45	15	5	15.7	25.7	0.610894942
7	flc-3 FRI	Col FRI	12	Var	16	NV	Y	Y	33	44	18	5	15.4	25.3	0.608695652
8	flc-3 FRI	Col FRI	12	Var	16	NV	Y	Y	34	46	16	5	15.8	29.5	0.53559322
1	flc-3 FRI	Col FRI	12	Var	8	NV	Y	Y	68	87	47	9	22.8	37.8	0.603174603
2	flc-3 FRI	Col FRI	12	Var	8	NV	Y	Y	69	89	44	8	19.8	33.9	0.584070796
3	flc-3 FRI	Col FRI	12	Var	8	NV	Y	Y	69	89	47	8	21.1	35.3	0.597733711
4	flc-3 FRI	Col FRI	12	Var	8	NV	Y	Y	73	92	56	9	28	49.3	0.567951318
5	flc-3 FRI	Col FRI	12	Var	8	NV	Y	Y	76	93	46	8	23	40.3	0.570719603
6	flc-3 FRI	Col FRI	12	Var	8	NV	Y	Y	77	97	49	8	22.1	32.5	0.68
7	flc-3 FRI	Col FRI	12	Var	8	NV	Y	Y	78	102	54	5	21.1	36.4	0.57967033
8	flc-3 FRI	Col FRI	12	Var	8	NV	Y	Y	79	99	50	7	25.1	41.6	0.603365385
1	flc-3 FRI	Col FRI	22	Con	16	NV	Y	Y	17	23	9	2	NA	15.2	0
2	flc-3 FRI	Col FRI	22	Con	16	NV	Y	Y	18	24	9	3	NA	16.8	0
3	flc-3 FRI	Col FRI	22	Con	16	NV	Y	Y	18	24	8	3	NA	19.1	0
4	flc-3 FRI	Col FRI	22	Con	16	NV	Y	Y	18	23	7	2	NA	15.8	0
5	flc-3 FRI	Col FRI	22	Con	16	NV	Y	Y	18	26	11	3	NA	NA	NA
6	flc-3 FRI	Col FRI	22	Con	16	NV	Y	Y	18	26	11	3	NA	NA	NA
7	flc-3 FRI	Col FRI	22	Con	16	NV	Y	Y	19	25	11	3	NA	NA	NA
8	flc-3 FRI	Col FRI	22	Con	16	NV	Y	Y	20	27	11	3	NA	NA	NA
1	flc-3 FRI	Col FRI	22	Con	8	NV	Y	Y	54	61	37	9	NA	NA	NA
2	flc-3 FRI	Col FRI	22	Con	8	NV	Y	Y	55	63	38	8	NA	NA	NA
3	flc-3 FRI	Col FRI	22	Con	8	NV	Y	Y	55	63	42	9	NA	NA	NA
4	flc-3 FRI	Col FRI	22	Con	8	NV	Y	Y	55	61	40	7	NA	NA	NA
5	flc-3 FRI	Col FRI	22	Con	8	NV	Y	Y	57	65	41	7	31.7	47.4	0.668776371
6	flc-3 FRI	Col FRI	22	Con	8	NV	Y	Y	58	65	40	9	NA	NA	NA
7	flc-3 FRI	Col FRI	22	Con	8	NV	Y	Y	58	64	41	11	NA	NA	NA
8	flc-3 FRI	Col FRI	22	Con	8	NV	Y	Y	59	66	42	7	23.3	40.4	0.576732673
9	flc-3 FRI	Col FRI	22	Con	8	NV	Y	Y	59	65	39	10	NA	NA	NA
10	flc-3 FRI	Col FRI	22	Con	8	NV	Y	Y	59	66	39	11	NA	NA	NA
11	flc-3 FRI	Col FRI	22	Con	8	NV	Y	Y	62	68	42	9	24.8	33.9	0.731563422
12	flc-3 FRI	Col FRI	22	Con	8	NV	Y	Y	65	72	49	8	27.7	43.6	0.635321101
1	flc-3 FRI	Col FRI	22	Var	16	NV	Y	Y	17	25	7	2	NA	17.97	0
2	flc-3 FRI	Col FRI	22	Var	16	NV	Y	Y	17	25	8	1	NA	17	0
3	flc-3 FRI	Col FRI	22	Var	16	NV	Y	Y	18	26	8	1	11.2	19.2	0.583333333
4	flc-3 FRI	Col FRI	22	Var	16	NV	Y	Y	18	26	8	2	11.1	19.5	0.569230769
5	flc-3 FRI	Col FRI	22	Var	16	NV	Y	Y	18	27	9	2	NA	NA	NA
6	flc-3 FRI	Col FRI	22	Var	16	NV	Y	Y	18	25	5	2	NA	NA	NA
7	flc-3 FRI	Col FRI	22	Var	16	NV	Y	Y	18	25	7	2	NA	NA	NA
8	flc-3 FRI	Col FRI	22	Var	16	NV	Y	Y	19	27	7	2	NA	NA	NA
1	flc-3 FRI	Col FRI	22	Var	8	NV	Y	Y	46	53	26	5	NA	NA	NA
2	flc-3 FRI	Col FRI	22	Var	8	NV	Y	Y	47	56	22	4	26.3	49.7	0.52917505
3	flc-3 FRI	Col FRI	22	Var	8	NV	Y	Y	48	56	28	7	NA	NA	NA
4	flc-3 FRI	Col FRI	22	Var	8	NV	Y	Y	50	57	24	5	25.5	39.4	0.647208122
5	flc-3 FRI	Col FRI	22	Var	8	NV	Y	Y	50	60	21	3	NA	NA	NA
6	flc-3 FRI	Col FRI	22	Var	8	NV	Y	Y	52	59	20	5	24.6	50.5	0.487128713
7	flc-3 FRI	Col FRI	22	Var	8	NV	Y	Y	54	62	24	6	22.8	51.9	0.439306358
8	flc-3 FRI	Col FRI	22	Var	8	NV	Y	Y	54	62	32	7	NA	NA	NA
1	flc-3 FRI	Col FRI	12	Con	16	V	Y	Y	25	38	19	6	13.3	23.9	0.556485356
2	flc-3 FRI	Col FRI	12	Con	16	V	Y	Y	25	37	13	5	12.6	20.1	0.626865672
3	flc-3 FRI	Col FRI	12	Con	16	V	Y	Y	25	38	17	6	13.6	20.9	0.650717703
4	flc-3 FRI	Col FRI	12	Con	16	V	Y	Y	26	40	14	4	13	21	0.619047619
5	flc-3 FRI	Col FRI	12	Con	16	V	Y	Y	26	39	14	4	11.7	20.5	0.570731707
6	flc-3 FRI	Col FRI	12	Con	16	V	Y	Y	26	39	18	5	15.8	26.4	0.598484848
7	flc-3 FRI	Col FRI	12	Con	16	V	Y	Y	27	39	12	5	16.3	28.4	0.573943662
8	flc-3 FRI	Col FRI	12	Con	16	V	Y	Y	29	42	16	4	12.8	19.8	0.646464646
1	flc-3 FRI	Col FRI	12	Con	8	V	Y	Y	59	78	41	11	13	31.6	0.411392405
2	flc-3 FRI	Col FRI	12	Con	8	V	Y	Y	59	76	46	10	19.7	33.1	0.595166163
3	flc-3 FRI	Col FRI	12	Con	8	V	Y	Y	60	78	43	11	19.7	33.6	0.586309524
4	flc-3 FRI	Col FRI	12	Con	8	V	Y	Y	62	81	43	12	19.1	32.1	0.595015576
5	flc-3 FRI	Col FRI	12	Con	8	V	Y	Y	64	86	42	11	23.9	38.3	0.624020888
6	flc-3 FRI	Col FRI	12	Con	8	V	Y	Y	64	87	42	11	21.4	35.4	0.604519774
7	flc-3 FRI	Col FRI	12	Con	8	V	Y	Y	65	88	43	10	19.6	32	0.6125
8	flc-3 FRI	Col FRI	12	Con	8	V	Y	Y	68	92	49	9	32.4	48.7	0.665297741
1	flc-3 FRI	Col FRI	12	Var	16	V	Y	Y	26	38	15	4	14.5	25.1	0.577689243
2	flc-3 FRI	Col FRI	12	Var	16	V	Y	Y	26	38	16	5	13.1	24.6	0.532520325
3	flc-3 FRI	Col FRI	12	Var	16	V	Y	Y	27	40	17	5	17.3	26.3	0.657794677
4	flc-3 FRI	Col FRI	12	Var	16	V	Y	Y	27	38	15	5	13	22.6	0.575221239
5	flc-3 FRI	Col FRI	12	Var	16	V	Y	Y	28	41	17	6	15.8	23.4	0.675213675
6	flc-3 FRI	Col FRI	12	Var	16	V	Y	Y	28	42	18	6	16.4	27.2	0.602941176
7	flc-3 FRI	Col FRI	12	Var	16	V	Y	Y	31	43	22	7	25.8	43.1	0.598607889
8	flc-3 FRI	Col FRI	12	Var	16	V	Y	Y	37	40	17	5	14.4	23.9	0.60251046
1	flc-3 FRI	Col FRI	12	Var	8	V	Y	Y	54	70	39	11	19	32.4	0.586419753
2	flc-3 FRI	Col FRI	12	Var	8	V	Y	Y	55	74	42	12	20.6	34.2	0.602339181
3	flc-3 FRI	Col FRI	12	Var	8	V	Y	Y	56	72	42	12	23.4	36.4	0.642857143
4	flc-3 FRI	Col FRI	12	Var	8	V	Y	Y	56	76	46	11	30.9	49.4	0.625506073
5	flc-3 FRI	Col FRI	12	Var	8	V	Y	Y	63	NA	NA	NA	20.8	40.2	0.517412935
6	flc-3 FRI	Col FRI	12	Var	8	V	Y	Y	63	83	46	12	26	44.3	0.586907449
7	flc-3 FRI	Col FRI	12	Var	8	V	Y	Y	65	88	42	10	24.6	40.2	0.611940299
8	flc-3 FRI	Col FRI	12	Var	8	V	Y	Y	69	88	46	11	23.9	42.3	0.56501182
1	flc-3 FRI	Col FRI	22	Con	16	V	Y	Y	15	21	13	2	NA	18.7	0
2	flc-3 FRI	Col FRI	22	Con	16	V	Y	Y	16	22	10	2	NA	NA	NA
3	flc-3 FRI	Col FRI	22	Con	16	V	Y	Y	16	22	10	2	NA	NA	NA
4	flc-3 FRI	Col FRI	22	Con	16	V	Y	Y	17	23	12	3	NA	16.7	0
5	flc-3 FRI	Col FRI	22	Con	16	V	Y	Y	17	25	10	3	NA	NA	NA
6	flc-3 FRI	Col FRI	22	Con	16	V	Y	Y	17	23	11	2	NA	NA	NA
7	flc-3 FRI	Col FRI	22	Con	16	V	Y	Y	18	22	12	3	NA	20.72	0
8	flc-3 FRI	Col FRI	22	Con	16	V	Y	Y	18	23	10	3	NA	21.3	0
1	flc-3 FRI	Col FRI	22	Con	8	V	Y	Y	44	51	35	8	NA	NA	NA
2	flc-3 FRI	Col FRI	22	Con	8	V	Y	Y	46	53	37	8	NA	NA	NA
3	flc-3 FRI	Col FRI	22	Con	8	V	Y	Y	46	54	42	7	NA	NA	NA
4	flc-3 FRI	Col FRI	22	Con	8	V	Y	Y	47	54	41	8	NA	NA	NA
5	flc-3 FRI	Col FRI	22	Con	8	V	Y	Y	48	54	41	8	NA	NA	NA
6	flc-3 FRI	Col FRI	22	Con	8	V	Y	Y	48	54	39	8	NA	NA	NA
7	flc-3 FRI	Col FRI	22	Con	8	V	Y	Y	49	55	39	8	NA	NA	NA
8	flc-3 FRI	Col FRI	22	Con	8	V	Y	Y	50	56	39	9	25	45.4	0.550660793
9	flc-3 FRI	Col FRI	22	Con	8	V	Y	Y	52	58	37	9	23.7	44	0.538636364
10	flc-3 FRI	Col FRI	22	Con	8	V	Y	Y	54	61	39	11	24	44.6	0.538116592
11	flc-3 FRI	Col FRI	22	Con	8	V	Y	Y	55	61	41	11	NA	NA	NA
12	flc-3 FRI	Col FRI	22	Con	8	V	Y	Y	56	63	47	11	23.9	46.5	0.513978495
1	flc-3 FRI	Col FRI	22	Var	16	V	Y	Y	16	23	10	2	NA	23.4	0
2	flc-3 FRI	Col FRI	22	Var	16	V	Y	Y	16	25	8	2	NA	NA	NA
3	flc-3 FRI	Col FRI	22	Var	16	V	Y	Y	17	22	9	2	NA	18.7	0
4	flc-3 FRI	Col FRI	22	Var	16	V	Y	Y	17	25	10	2	NA	21.7	0
5	flc-3 FRI	Col FRI	22	Var	16	V	Y	Y	17	22	10	1	NA	23.2	0
6	flc-3 FRI	Col FRI	22	Var	16	V	Y	Y	17	25	9	3	NA	NA	NA
7	flc-3 FRI	Col FRI	22	Var	16	V	Y	Y	17	25	8	2	NA	NA	NA
8	flc-3 FRI	Col FRI	22	Var	16	V	Y	Y	19	26	10	4	NA	NA	NA
1	flc-3 FRI	Col FRI	22	Var	8	V	Y	Y	40	47	23	4	27.4	55.5	0.493693694
2	flc-3 FRI	Col FRI	22	Var	8	V	Y	Y	42	50	23	5	28.7	55.4	0.518050542
3	flc-3 FRI	Col FRI	22	Var	8	V	Y	Y	42	49	26	5	29.6	60.3	0.490878939
4	flc-3 FRI	Col FRI	22	Var	8	V	Y	Y	42	50	24	5	24.3	55.7	0.436265709
5	flc-3 FRI	Col FRI	22	Var	8	V	Y	Y	42	49	24	6	NA	NA	NA
6	flc-3 FRI	Col FRI	22	Var	8	V	Y	Y	44	51	29	5	NA	NA	NA
7	flc-3 FRI	Col FRI	22	Var	8	V	Y	Y	44	51	27	6	NA	NA	NA
8	flc-3 FRI	Col FRI	22	Var	8	V	Y	Y	45	53	31	5	NA	NA	NA
1	flk-1	Col	12	Con	16	NV	Y	Y	45	60	30	10	17.7	29.9	0.591973244
2	flk-1	Col	12	Con	16	NV	Y	Y	45	58	36	11	18.2	31.7	0.574132492
3	flk-1	Col	12	Con	16	NV	Y	Y	45	58	32	11	17.4	28.4	0.612676056
4	flk-1	Col	12	Con	16	NV	Y	Y	46	59	41	11	18.9	28.4	0.665492958
5	flk-1	Col	12	Con	16	NV	Y	Y	48	63	32	11	21.2	30.9	0.686084142
6	flk-1	Col	12	Con	16	NV	Y	Y	48	62	47	10	28.2	47	0.6
7	flk-1	Col	12	Con	16	NV	Y	Y	50	64	33	10	20	35.4	0.564971751
8	flk-1	Col	12	Con	16	NV	Y	Y	51	66	39	12	21.6	38.1	0.566929134
1	flk-1	Col	12	Con	8	NV	Y	Y	86	109	61	8	19.5	34.5	0.565217391
2	flk-1	Col	12	Con	8	NV	Y	Y	88	109	65	8	22.6	38.2	0.591623037
3	flk-1	Col	12	Con	8	NV	Y	Y	88	111	62	8	15.3	33.2	0.460843373
4	flk-1	Col	12	Con	8	NV	Y	Y	90	112	60	8	19.1	31.2	0.612179487
5	flk-1	Col	12	Con	8	NV	Y	Y	94	118	58	10	24.1	39.1	0.616368286
6	flk-1	Col	12	Con	8	NV	Y	Y	95	120	64	8	22.9	41.5	0.551807229
7	flk-1	Col	12	Con	8	NV	Y	Y	98	122	65	10	31.6	50.7	0.623274162
8	flk-1	Col	12	Con	8	NV	Y	Y	99	124	59	7	21	37.5	0.56
1	flk-1	Col	12	Var	16	NV	Y	Y	43	61	33	10	17.9	32.9	0.544072948
2	flk-1	Col	12	Var	16	NV	Y	Y	45	59	35	10	20.6	34.7	0.593659942
3	flk-1	Col	12	Var	16	NV	Y	Y	45	59	29	11	19.7	34.3	0.574344023
4	flk-1	Col	12	Var	16	NV	Y	Y	47	58	39	10	20.8	36.3	0.573002755
5	flk-1	Col	12	Var	16	NV	Y	Y	48	59	39	11	20.7	31.3	0.661341853
6	flk-1	Col	12	Var	16	NV	Y	Y	49	62	39	9	21.9	38.1	0.57480315
7	flk-1	Col	12	Var	16	NV	Y	Y	49	61	36	12	33.4	66.3	0.503770739
8	flk-1	Col	12	Var	16	NV	Y	Y	50	62	43	10	17.3	33.6	0.514880952
1	flk-1	Col	12	Var	8	NV	Y	Y	87	108	59	9	59	9	6.555555556
2	flk-1	Col	12	Var	8	NV	Y	Y	87	109	53	8	20.4	39.1	0.52173913
3	flk-1	Col	12	Var	8	NV	Y	Y	89	108	62	9	27	48	0.5625
4	flk-1	Col	12	Var	8	NV	Y	Y	89	112	58	7	21.9	38	0.576315789
5	flk-1	Col	12	Var	8	NV	Y	Y	93	120	58	8	23.5	40.2	0.584577114
6	flk-1	Col	12	Var	8	NV	Y	Y	95	116	64	8	24.7	42.6	0.579812207
7	flk-1	Col	12	Var	8	NV	Y	Y	95	118	61	8	24.8	42.1	0.589073634
8	flk-1	Col	12	Var	8	NV	Y	Y	98	123	72	8	27.4	45	0.608888889
1	flk-1	Col	22	Con	16	NV	Y	Y	36	41	27	9	21.4	34.9	0.613180516
2	flk-1	Col	22	Con	16	NV	Y	Y	36	40	30	6	NA	NA	NA
3	flk-1	Col	22	Con	16	NV	Y	Y	36	43	32	12	NA	NA	NA
4	flk-1	Col	22	Con	16	NV	Y	Y	39	NA	32	9	22.4	36.6	0.612021858
5	flk-1	Col	22	Con	16	NV	Y	Y	40	45	34	7	22.1	35.3	0.626062323
6	flk-1	Col	22	Con	16	NV	Y	Y	40	46	34	9	21.1	36	0.586111111
7	flk-1	Col	22	Con	16	NV	Y	Y	44	48	38	8	NA	NA	NA
8	flk-1	Col	22	Con	16	NV	Y	Y	46	54	43	8	NA	NA	NA
1	flk-1	Col	22	Con	8	NV	Y	Y	93	104	57	10	NA	NA	NA
2	flk-1	Col	22	Con	8	NV	Y	Y	122	132	55	13	NA	NA	NA
3	flk-1	Col	22	Con	8	NV	Y	Y	122	NA	NA	NA	NA	NA	NA
4	flk-1	Col	22	Con	8	NV	Y	Y	160	NA	NA	NA	NA	NA	NA
5	flk-1	Col	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
6	flk-1	Col	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
7	flk-1	Col	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
8	flk-1	Col	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
1	flk-1	Col	22	Var	16	NV	Y	Y	33	41	23	5	20.2	43.4	0.465437788
2	flk-1	Col	22	Var	16	NV	Y	Y	35	42	24	6	20.8	43.6	0.47706422
3	flk-1	Col	22	Var	16	NV	Y	Y	35	42	25	7	25	47.7	0.524109015
4	flk-1	Col	22	Var	16	NV	Y	Y	36	44	25	5	NA	NA	NA
5	flk-1	Col	22	Var	16	NV	Y	Y	38	44	29	6	25.3	45.8	0.552401747
6	flk-1	Col	22	Var	16	NV	Y	Y	42	49	31	6	NA	NA	NA
7	flk-1	Col	22	Var	16	NV	Y	Y	42	48	31	6	NA	NA	NA
8	flk-1	Col	22	Var	16	NV	Y	Y	44	51	33	5	NA	NA	NA
1	flk-1	Col	22	Var	8	NV	Y	Y	81	NA	NA	NA	NA	NA	NA
2	flk-1	Col	22	Var	8	NV	Y	Y	88	99	57	8	NA	NA	NA
3	flk-1	Col	22	Var	8	NV	Y	Y	90	105	66	10	NA	NA	NA
4	flk-1	Col	22	Var	8	NV	Y	Y	91	105	67	9	NA	NA	NA
1	fve-3	Col	12	Con	16	NV	Y	Y	50	64	41	8	27	43.4	0.622119816
2	fve-3	Col	12	Con	16	NV	Y	Y	53	68	44	11	22.1	34.2	0.64619883
3	fve-3	Col	12	Con	16	NV	Y	Y	54	71	43	9	20.1	33.2	0.605421687
4	fve-3	Col	12	Con	16	NV	Y	Y	54	71	52	11	21.1	35.5	0.594366197
5	fve-3	Col	12	Con	16	NV	Y	Y	55	74	36	11	22.3	38.7	0.57622739
6	fve-3	Col	12	Con	16	NV	Y	Y	56	73	42	9	19.6	34.2	0.573099415
7	fve-3	Col	12	Con	16	NV	Y	Y	57	73	45	11	17.6	30.9	0.569579288
8	fve-3	Col	12	Con	16	NV	Y	Y	58	75	43	8	19.6	30.6	0.640522876
1	fve-3	Col	12	Con	8	NV	Y	Y	89	109	70	9	20.8	37.7	0.551724138
2	fve-3	Col	12	Con	8	NV	Y	Y	93	118	53	10	18.9	34.7	0.544668588
3	fve-3	Col	12	Con	8	NV	Y	Y	94	122	66	8	24.8	39.4	0.629441624
4	fve-3	Col	12	Con	8	NV	Y	Y	96	121	60	10	19.8	33.7	0.587537092
5	fve-3	Col	12	Con	8	NV	Y	Y	96	120	59	10	20	33.5	0.597014925
6	fve-3	Col	12	Con	8	NV	Y	Y	96	125	64	9	24.8	37.1	0.668463612
7	fve-3	Col	12	Con	8	NV	Y	Y	105	132	64	11	29.3	46.2	0.634199134
8	fve-3	Col	12	Con	8	NV	Y	Y	106	132	56	9	20.2	38.5	0.524675325
1	fve-3	Col	12	Var	16	NV	Y	Y	52	65	45	8	22.6	36.8	0.614130435
2	fve-3	Col	12	Var	16	NV	Y	Y	54	69	44	8	23.5	28.1	0.836298932
3	fve-3	Col	12	Var	16	NV	Y	Y	54	70	44	8	22.5	40.8	0.551470588
4	fve-3	Col	12	Var	16	NV	Y	Y	54	69	45	9	20.8	37.5	0.554666667
5	fve-3	Col	12	Var	16	NV	Y	Y	55	73	50	10	21.7	37.6	0.57712766
6	fve-3	Col	12	Var	16	NV	Y	Y	56	73	41	8	23.4	36.6	0.639344262
7	fve-3	Col	12	Var	16	NV	Y	Y	58	73	51	9	23.7	36.5	0.649315068
8	fve-3	Col	12	Var	16	NV	Y	Y	58	74	55	11	26.8	40.7	0.658476658
1	fve-3	Col	12	Var	8	NV	Y	Y	88	111	69	9	27.7	48.6	0.569958848
2	fve-3	Col	12	Var	8	NV	Y	Y	88	111	61	8	19.4	36.6	0.530054645
3	fve-3	Col	12	Var	8	NV	Y	Y	92	113	53	8	19.6	35.6	0.550561798
4	fve-3	Col	12	Var	8	NV	Y	Y	93	119	57	8	20.6	38.7	0.532299742
5	fve-3	Col	12	Var	8	NV	Y	Y	95	118	57	8	20.4	38.1	0.535433071
6	fve-3	Col	12	Var	8	NV	Y	Y	97	128	55	8	23.3	39.1	0.595907928
7	fve-3	Col	12	Var	8	NV	Y	Y	99	130	63	10	22.3	42.1	0.529691211
8	fve-3	Col	12	Var	8	NV	Y	Y	105	132	65	10	20.4	36.3	0.561983471
1	fve-3	Col	22	Con	16	NV	Y	Y	41	49	37	5	21.2	36.6	0.579234973
2	fve-3	Col	22	Con	16	NV	Y	Y	42	48	34	4	20.6	32.7	0.629969419
3	fve-3	Col	22	Con	16	NV	Y	Y	42	49	37	6	21.1	38.6	0.546632124
4	fve-3	Col	22	Con	16	NV	Y	Y	43	53	32	6	21.3	34.1	0.624633431
5	fve-3	Col	22	Con	16	NV	Y	Y	51	57	40	7	NA	NA	NA
6	fve-3	Col	22	Con	16	NV	Y	Y	53	60	45	6	NA	NA	NA
7	fve-3	Col	22	Con	16	NV	Y	Y	54	61	46	7	NA	NA	NA
8	fve-3	Col	22	Con	16	NV	Y	Y	55	61	50	7	NA	NA	NA
1	fve-3	Col	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
2	fve-3	Col	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
3	fve-3	Col	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
4	fve-3	Col	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
5	fve-3	Col	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA	NA
