plant_nb	genotype	background	temperature	fluctuation	day.length	vernalization	survival.bolt	bolt	days.to.bolt	days.to.flower	rosette.leaf.num	cauline.leaf.num	blade.length.mm	total.leaf.length.mm
2	Col Ama	Col	12	Var	8	V	Y	Y	59	77	39	11	19.7	32.8
3	Col Ama	Col	12	Var	8	V	Y	Y	61	81	44	12	22.8	36.2
4	Col Ama	Col	12	Var	8	V	Y	Y	62	82	47	11	27.7	43.6
5	Col Ama	Col	12	Var	8	V	Y	Y	64	81	41	11	22.9	36.7
6	Col Ama	Col	12	Var	8	V	Y	Y	65	88	45	10	26	43.2
7	Col Ama	Col	12	Var	8	V	Y	Y	69	91	44	10	24.6	39.1
8	Col Ama	Col	12	Var	8	V	Y	Y	69	91	44	10	22.1	36.8
1	Col Ama	Col	22	Con	16	V	Y	Y	15	22	12	3	NA	17.4
2	Col Ama	Col	22	Con	16	V	Y	Y	16	23	12	2	NA	NA
3	Col Ama	Col	22	Con	16	V	Y	Y	17	22	12	3	NA	18.4
4	Col Ama	Col	22	Con	16	V	Y	Y	17	22	13	3	NA	20.1
5	Col Ama	Col	22	Con	16	V	Y	Y	17	21	10	1	NA	18.4
6	Col Ama	Col	22	Con	16	V	Y	Y	17	24	12	3	NA	NA
7	Col Ama	Col	22	Con	16	V	Y	Y	18	25	9	2	NA	NA
8	Col Ama	Col	22	Con	16	V	Y	Y	18	25	11	3	NA	NA
1	Col Ama	Col	22	Con	8	V	Y	Y	45	53	39	7	NA	NA
2	Col Ama	Col	22	Con	8	V	Y	Y	48	55	41	9	NA	NA
3	Col Ama	Col	22	Con	8	V	Y	Y	48	53	39	8	NA	NA
4	Col Ama	Col	22	Con	8	V	Y	Y	48	55	38	9	NA	NA
5	Col Ama	Col	22	Con	8	V	Y	Y	49	56	42	8	NA	NA
6	Col Ama	Col	22	Con	8	V	Y	Y	49	57	39	7	NA	NA
7	Col Ama	Col	22	Con	8	V	Y	Y	52	59	40	9	27.2	46.6
8	Col Ama	Col	22	Con	8	V	Y	Y	52	59	42	9	NA	NA
9	Col Ama	Col	22	Con	8	V	Y	Y	53	59	39	10	22.5	44.1
10	Col Ama	Col	22	Con	8	V	Y	Y	55	61	38	10	NA	NA
11	Col Ama	Col	22	Con	8	V	Y	Y	58	64	42	10	25.2	47.4
12	Col Ama	Col	22	Con	8	V	Y	Y	60	66	45	11	27.5	51.2
1	Col Ama	Col	22	Var	16	V	Y	Y	17	25	10	1	NA	21.8
2	Col Ama	Col	22	Var	16	V	Y	Y	17	24	10	2	NA	20.5
3	Col Ama	Col	22	Var	16	V	Y	Y	17	25	7	3	NA	NA
4	Col Ama	Col	22	Var	16	V	Y	Y	19	27	11	2	13.9	24.6
5	Col Ama	Col	22	Var	16	V	Y	Y	19	26	10	2	13.2	24.5
6	Col Ama	Col	22	Var	16	V	Y	Y	19	26	11	2	NA	NA
7	Col Ama	Col	22	Var	16	V	Y	Y	19	26	12	1	NA	NA
8	Col Ama	Col	22	Var	16	V	Y	Y	20	25	9	2	NA	NA
1	Col Ama	Col	22	Var	8	V	Y	Y	43	50	25	5	27.2	51.8
2	Col Ama	Col	22	Var	8	V	Y	Y	43	51	26	7	27	51.8
3	Col Ama	Col	22	Var	8	V	Y	Y	43	50	31	7	NA	NA
4	Col Ama	Col	22	Var	8	V	Y	Y	44	54	28	7	28.4	56
5	Col Ama	Col	22	Var	8	V	Y	Y	44	51	27	5	NA	NA
6	Col Ama	Col	22	Var	8	V	Y	Y	45	53	31	6	NA	NA
7	Col Ama	Col	22	Var	8	V	Y	Y	46	51	32	5	NA	NA
8	Col Ama	Col	22	Var	8	V	Y	Y	50	58	29	8	21.2	27.2
1	Col FRI	Col FRI	12	Con	16	NV	Y	Y	53	65	50	11	23	32.9
2	Col FRI	Col FRI	12	Con	16	NV	Y	Y	56	72	45	9	23.6	34.7
3	Col FRI	Col FRI	12	Con	16	NV	Y	Y	57	74	43	9	23.1	34
4	Col FRI	Col FRI	12	Con	16	NV	Y	Y	57	74	43	7	20.4	33.5
5	Col FRI	Col FRI	12	Con	16	NV	Y	Y	59	73	64	11	25.3	43.5
6	Col FRI	Col FRI	12	Con	16	NV	Y	Y	60	74	54	8	19.3	32.2
7	Col FRI	Col FRI	12	Con	16	NV	Y	Y	60	74	59	10	23.5	38.7
8	Col FRI	Col FRI	12	Con	16	NV	Y	Y	62	75	42	7	25.2	34.6
1	Col FRI	Col FRI	12	Con	8	NV	Y	Y	90	110	61	7	18	31.8
2	Col FRI	Col FRI	12	Con	8	NV	Y	Y	90	109	76	7	24	40.5
3	Col FRI	Col FRI	12	Con	8	NV	Y	Y	91	111	69	6	19.2	33.8
4	Col FRI	Col FRI	12	Con	8	NV	Y	Y	96	96	70	11	26.7	44.7
5	Col FRI	Col FRI	12	Con	8	NV	Y	Y	96	117	64	7	22.1	38.7
6	Col FRI	Col FRI	12	Con	8	NV	Y	Y	97	119	71	7	23.8	40.1
7	Col FRI	Col FRI	12	Con	8	NV	Y	Y	98	119	63	9	20.7	33.5
8	Col FRI	Col FRI	12	Con	8	NV	Y	Y	103	137	59	10	22.3	36
1	Col FRI	Col FRI	12	Var	16	NV	Y	Y	55	68	43	9	22.4	40
2	Col FRI	Col FRI	12	Var	16	NV	Y	Y	56	68	46	9	24.7	44.1
3	Col FRI	Col FRI	12	Var	16	NV	Y	Y	57	70	40	10	21.2	40.2
4	Col FRI	Col FRI	12	Var	16	NV	Y	Y	57	71	50	9	27.4	42.5
5	Col FRI	Col FRI	12	Var	16	NV	Y	Y	61	77	58	11	29.2	51.2
6	Col FRI	Col FRI	12	Var	16	NV	Y	Y	62	74	56	8	26.8	43.7
7	Col FRI	Col FRI	12	Var	16	NV	Y	Y	62	75	53	9	24.8	41.3
8	Col FRI	Col FRI	12	Var	16	NV	Y	Y	63	78	50	9	24.8	43.8
1	Col FRI	Col FRI	12	Var	8	NV	Y	Y	87	98	70	8	28	44.1
2	Col FRI	Col FRI	12	Var	8	NV	Y	Y	93	119	63	8	23.4	42.9
3	Col FRI	Col FRI	12	Var	8	NV	Y	Y	93	118	61	8	25.4	42.7
4	Col FRI	Col FRI	12	Var	8	NV	Y	Y	95	113	68	6	24.7	39
5	Col FRI	Col FRI	12	Var	8	NV	Y	Y	97	120	62	7	25	41.1
6	Col FRI	Col FRI	12	Var	8	NV	Y	Y	98	118	61	7	18.2	33.1
7	Col FRI	Col FRI	12	Var	8	NV	Y	Y	101	122	66	8	22.3	36.7
8	Col FRI	Col FRI	12	Var	8	NV	Y	Y	102	122	66	9	21.3	33.3
1	Col FRI	Col FRI	22	Con	16	NV	Y	Y	44	49	35	8	23.9	38.2
2	Col FRI	Col FRI	22	Con	16	NV	Y	Y	44	49	40	8	NA	NA
3	Col FRI	Col FRI	22	Con	16	NV	Y	Y	53	59	43	9	19.8	34
4	Col FRI	Col FRI	22	Con	16	NV	Y	Y	65	72	50	8	26.1	39.3
5	Col FRI	Col FRI	22	Con	16	NV	Y	Y	68	73	52	12	NA	NA
6	Col FRI	Col FRI	22	Con	16	NV	Y	Y	70	77	50	9	19.5	28.3
7	Col FRI	Col FRI	22	Con	16	NV	Y	Y	73	79	58	13	NA	NA
8	Col FRI	Col FRI	22	Con	16	NV	Y	Y	79	87	56	12	NA	NA
1	Col FRI	Col FRI	22	Con	8	NV	Y	Y	142	149	NA	NA	NA	NA
2	Col FRI	Col FRI	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA
3	Col FRI	Col FRI	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA
4	Col FRI	Col FRI	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA
5	Col FRI	Col FRI	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA
6	Col FRI	Col FRI	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA
7	Col FRI	Col FRI	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA
8	Col FRI	Col FRI	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA
1	Col FRI	Col FRI	22	Var	16	NV	Y	Y	36	44	27	3	22	41.2
2	Col FRI	Col FRI	22	Var	16	NV	Y	Y	38	44	27	5	24.8	46.4
3	Col FRI	Col FRI	22	Var	16	NV	Y	Y	38	45	31	5	24.5	43.3
4	Col FRI	Col FRI	22	Var	16	NV	Y	Y	40	47	30	5	24.4	39
5	Col FRI	Col FRI	22	Var	16	NV	Y	Y	45	52	31	5	NA	NA
6	Col FRI	Col FRI	22	Var	16	NV	Y	Y	45	53	33	5	NA	NA
7	Col FRI	Col FRI	22	Var	16	NV	Y	Y	45	52	33	7	NA	NA
8	Col FRI	Col FRI	22	Var	16	NV	Y	Y	46	NA	36	7	NA	NA
1	Col FRI	Col FRI	22	Var	8	NV	Y	Y	78	89	46	9	NA	NA
2	Col FRI	Col FRI	22	Var	8	NV	Y	Y	78	90	59	8	NA	NA
3	Col FRI	Col FRI	22	Var	8	NV	Y	Y	93	105	72	8	NA	NA
4	Col FRI	Col FRI	22	Var	8	NV	Y	Y	113	141	NA	NA	NA	NA
1	Col FRI	Col FRI	12	Con	16	V	Y	Y	32	44	25	5	16	20.5
2	Col FRI	Col FRI	12	Con	16	V	Y	Y	33	46	23	8	18.4	32.2
3	Col FRI	Col FRI	12	Con	16	V	Y	Y	33	47	20	7	14.4	26.3
4	Col FRI	Col FRI	12	Con	16	V	Y	Y	33	47	21	8	17.4	32.2
5	Col FRI	Col FRI	12	Con	16	V	Y	Y	34	47	22	8	19.8	33.6
6	Col FRI	Col FRI	12	Con	16	V	Y	Y	34	45	28	9	16.1	26.5
7	Col FRI	Col FRI	12	Con	16	V	Y	Y	36	48	30	10	17.9	29.4
8	Col FRI	Col FRI	12	Con	16	V	Y	Y	36	47	31	10	20.1	36.4
1	Col FRI	Col FRI	12	Con	8	V	Y	Y	64	82	55	11	21.6	38
2	Col FRI	Col FRI	12	Con	8	V	Y	Y	65	82	51	8	15.5	29
3	Col FRI	Col FRI	12	Con	8	V	Y	Y	67	86	49	9	19.8	32
4	Col FRI	Col FRI	12	Con	8	V	Y	Y	68	85	52	9	19.5	32.3
5	Col FRI	Col FRI	12	Con	8	V	Y	Y	77	101	54	6	20.4	38.3
6	Col FRI	Col FRI	12	Con	8	V	Y	Y	77	97	55	9	31	47.3
7	Col FRI	Col FRI	12	Con	8	V	Y	Y	80	103	51	7	20.6	33.5
8	Col FRI	Col FRI	12	Con	8	V	Y	Y	80	102	44	7	21.2	40
1	Col FRI	Col FRI	12	Var	16	V	Y	Y	32	45	25	7	17.2	33.5
2	Col FRI	Col FRI	12	Var	16	V	Y	Y	32	46	34	10	23.3	40.7
3	Col FRI	Col FRI	12	Var	16	V	Y	Y	33	45	27	6	19	30
4	Col FRI	Col FRI	12	Var	16	V	Y	Y	33	46	29	5	17	29.1
5	Col FRI	Col FRI	12	Var	16	V	Y	Y	34	47	26	8	19.2	37.2
6	Col FRI	Col FRI	12	Var	16	V	Y	Y	35	47	26	7	19.3	33.9
7	Col FRI	Col FRI	12	Var	16	V	Y	Y	36	45	30	6	16.9	31.4
8	Col FRI	Col FRI	12	Var	16	V	Y	Y	37	48	28	8	18.2	30.9
1	Col FRI	Col FRI	12	Var	8	V	Y	Y	63	82	48	10	18.9	36.7
2	Col FRI	Col FRI	12	Var	8	V	Y	Y	64	84	49	11	26	41.1
3	Col FRI	Col FRI	12	Var	8	V	Y	Y	64	82	49	10	19	32.5
4	Col FRI	Col FRI	12	Var	8	V	Y	Y	64	82	51	11	28.3	45.4
5	Col FRI	Col FRI	12	Var	8	V	Y	Y	68	90	51	10	21.4	40.1
6	Col FRI	Col FRI	12	Var	8	V	Y	Y	69	91	39	10	26.7	45.4
7	Col FRI	Col FRI	12	Var	8	V	Y	Y	74	94	48	11	22.7	42.5
8	Col FRI	Col FRI	12	Var	8	V	Y	Y	74	95	48	9	23.4	38.8
1	Col FRI	Col FRI	22	Con	16	V	Y	Y	20	26	16	4	NA	22.7
2	Col FRI	Col FRI	22	Con	16	V	Y	Y	20	27	16	4	16.6	26.3
3	Col FRI	Col FRI	22	Con	16	V	Y	Y	20	28	16	4	NA	NA
4	Col FRI	Col FRI	22	Con	16	V	Y	Y	21	28	17	4	14	22.1
5	Col FRI	Col FRI	22	Con	16	V	Y	Y	21	28	18	4	NA	NA
6	Col FRI	Col FRI	22	Con	16	V	Y	Y	23	28	18	5	20.3	34
7	Col FRI	Col FRI	22	Con	16	V	Y	Y	23	29	15	3	NA	NA
8	Col FRI	Col FRI	22	Con	16	V	Y	Y	25	29	18	5	NA	NA
1	Col FRI	Col FRI	22	Con	8	V	Y	Y	55	62	48	8	NA	NA
2	Col FRI	Col FRI	22	Con	8	V	Y	Y	56	63	43	9	NA	NA
3	Col FRI	Col FRI	22	Con	8	V	Y	Y	57	65	45	11	NA	NA
4	Col FRI	Col FRI	22	Con	8	V	Y	Y	61	67	50	9	25.1	45.4
5	Col FRI	Col FRI	22	Con	8	V	Y	Y	61	68	51	9	NA	NA
6	Col FRI	Col FRI	22	Con	8	V	Y	Y	62	70	46	8	32.8	55.9
7	Col FRI	Col FRI	22	Con	8	V	Y	Y	62	70	47	8	NA	NA
8	Col FRI	Col FRI	22	Con	8	V	Y	Y	62	68	45	12	NA	NA
9	Col FRI	Col FRI	22	Con	8	V	Y	Y	62	69	54	9	NA	NA
10	Col FRI	Col FRI	22	Con	8	V	Y	Y	63	69	50	8	NA	NA
11	Col FRI	Col FRI	22	Con	8	V	Y	Y	69	76	48	9	25.7	42.7
12	Col FRI	Col FRI	22	Con	8	V	Y	Y	70	77	51	9	24.7	38.3
1	Col FRI	Col FRI	22	Var	16	V	Y	Y	21	30	15	4	14.8	28.8
2	Col FRI	Col FRI	22	Var	16	V	Y	Y	23	30	14	3	19.1	33.7
3	Col FRI	Col FRI	22	Var	16	V	Y	Y	24	32	14	3	17.2	32.3
4	Col FRI	Col FRI	22	Var	16	V	Y	Y	24	30	13	3	18.8	39.4
5	Col FRI	Col FRI	22	Var	16	V	Y	Y	25	31	14	2	NA	NA
6	Col FRI	Col FRI	22	Var	16	V	Y	Y	25	32	15	3	NA	NA
7	Col FRI	Col FRI	22	Var	16	V	Y	Y	25	32	13	3	NA	NA
8	Col FRI	Col FRI	22	Var	16	V	Y	Y	26	33	13	2	NA	NA
1	Col FRI	Col FRI	22	Var	8	V	Y	Y	49	56	36	12	NA	NA
2	Col FRI	Col FRI	22	Var	8	V	Y	Y	52	58	39	8	27.7	57.3
3	Col FRI	Col FRI	22	Var	8	V	Y	Y	54	61	42	8	28.1	53.2
4	Col FRI	Col FRI	22	Var	8	V	Y	Y	54	60	36	8	27.2	43
5	Col FRI	Col FRI	22	Var	8	V	Y	Y	54	63	41	8	NA	NA
6	Col FRI	Col FRI	22	Var	8	V	Y	Y	54	60	38	9	NA	NA
7	Col FRI	Col FRI	22	Var	8	V	Y	Y	56	62	34	5	27.2	50.2
8	Col FRI	Col FRI	22	Var	8	V	Y	Y	56	62	38	10	NA	NA
1	fca-6	Ler	12	Con	16	NV	Y	Y	39	53	27	10	16.1	26
2	fca-6	Ler	12	Con	16	NV	Y	Y	40	53	28	11	19.2	29.2
3	fca-6	Ler	12	Con	16	NV	Y	Y	41	55	27	9	15.9	25.5
4	fca-6	Ler	12	Con	16	NV	Y	Y	41	58	34	10	19.7	35.6
5	fca-6	Ler	12	Con	16	NV	Y	Y	43	58	24	8	14.1	23.6
6	fca-6	Ler	12	Con	16	NV	Y	Y	44	59	25	10	18.3	30.8
7	fca-6	Ler	12	Con	16	NV	Y	Y	44	58	24	11	14.9	25.4
8	fca-6	Ler	12	Con	16	NV	Y	Y	45	61	26	12	17.1	27.6
1	fca-6	Ler	12	Con	8	NV	Y	Y	64	83	44	11	19	27.9
2	fca-6	Ler	12	Con	8	NV	Y	Y	66	86	42	9	18.9	25.6
3	fca-6	Ler	12	Con	8	NV	Y	Y	67	89	42	10	20.1	30.7
4	fca-6	Ler	12	Con	8	NV	Y	Y	68	89	49	10	19.4	31.3
5	fca-6	Ler	12	Con	8	NV	Y	Y	81	106	42	11	22.6	36.6
6	fca-6	Ler	12	Con	8	NV	Y	Y	83	109	46	9	21.3	32.9
7	fca-6	Ler	12	Con	8	NV	Y	Y	84	109	46	10	20.2	31.6
8	fca-6	Ler	12	Con	8	NV	Y	Y	86	108	49	12	31.2	45.4
1	fca-6	Ler	12	Var	16	NV	Y	Y	38	53	24	9	15.5	24.3
2	fca-6	Ler	12	Var	16	NV	Y	Y	39	54	24	10	17.6	29.5
3	fca-6	Ler	12	Var	16	NV	Y	Y	40	55	26	10	17.2	29.3
4	fca-6	Ler	12	Var	16	NV	Y	Y	42	56	26	10	25.5	40.6
5	fca-6	Ler	12	Var	16	NV	Y	Y	43	58	28	11	8.1	30.6
6	fca-6	Ler	12	Var	16	NV	Y	Y	43	57	27	11	18.7	31.2
7	fca-6	Ler	12	Var	16	NV	Y	Y	44	62	31	10	17	30
8	fca-6	Ler	12	Var	16	NV	Y	Y	45	57	21	12	16.8	25.4
1	fca-6	Ler	12	Var	8	NV	Y	Y	65	87	46	11	22.1	28.6
2	fca-6	Ler	12	Var	8	NV	Y	Y	66	85	41	9	15	27
3	fca-6	Ler	12	Var	8	NV	Y	Y	68	90	40	11	19.6	21.2
4	fca-6	Ler	12	Var	8	NV	Y	Y	68	92	51	17	32	45.3
5	fca-6	Ler	12	Var	8	NV	Y	Y	75	98	43	11	22	33.5
6	fca-6	Ler	12	Var	8	NV	Y	Y	77	99	45	10	24.3	36.7
7	fca-6	Ler	12	Var	8	NV	Y	Y	79	102	44	9	23.9	36.2
8	fca-6	Ler	12	Var	8	NV	Y	Y	79	100	49	10	25.5	38.2
1	fca-6	Ler	22	Con	16	NV	Y	Y	29	36	21	5	16.9	27.4
2	fca-6	Ler	22	Con	16	NV	Y	Y	31	38	22	7	18.7	29.2
3	fca-6	Ler	22	Con	16	NV	Y	Y	32	38	24	7	15.8	26.8
4	fca-6	Ler	22	Con	16	NV	Y	Y	33	40	24	7	17.8	29.1
5	fca-6	Ler	22	Con	16	NV	Y	Y	33	40	25	7	NA	NA
6	fca-6	Ler	22	Con	16	NV	Y	Y	33	39	24	8	NA	NA
7	fca-6	Ler	22	Con	16	NV	Y	Y	34	40	25	6	NA	NA
8	fca-6	Ler	22	Con	16	NV	Y	Y	40	45	27	8	NA	NA
1	fca-6	Ler	22	Con	8	NV	Y	Y	105	112	75	11	NA	NA
2	fca-6	Ler	22	Con	8	NV	Y	Y	115	122	58	8	NA	NA
3	fca-6	Ler	22	Con	8	NV	Y	Y	130	142	NA	NA	NA	NA
4	fca-6	Ler	22	Con	8	NV	Y	Y	130	141	NA	NA	NA	NA
5	fca-6	Ler	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA
6	fca-6	Ler	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA
7	fca-6	Ler	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA
8	fca-6	Ler	22	Con	8	NV	Y	N	162	NA	NA	NA	NA	NA
1	fca-6	Ler	22	Var	16	NV	Y	Y	28	36	14	4	14.9	22.5
2	fca-6	Ler	22	Var	16	NV	Y	Y	28	35	13	2	NA	NA
3	fca-6	Ler	22	Var	16	NV	Y	Y	28	35	11	NA	NA	NA
4	fca-6	Ler	22	Var	16	NV	Y	Y	29	36	13	3	14.3	27.2
5	fca-6	Ler	22	Var	16	NV	Y	Y	29	36	14	4	14.1	26.1
6	fca-6	Ler	22	Var	16	NV	Y	Y	29	36	11	2	NA	NA
7	fca-6	Ler	22	Var	16	NV	Y	Y	30	37	13	3	15.4	27.9
8	fca-6	Ler	22	Var	16	NV	Y	Y	32	36	12	3	NA	NA
1	fca-6	Ler	22	Var	8	NV	Y	Y	68	75	38	6	35	57.9
2	fca-6	Ler	22	Var	8	NV	Y	Y	71	79	35	7	NA	NA
