gene	Log2FoldToZero_17c_15min	TLog2FoldToZero_17c_1hr	Log2FoldToZero_17c_4hr	Log2FoldToZero_27c_15min	Log2FoldToZero_27c_1hr	Log2FoldToZero_27c_4hr	cluster
AT1G19900	-1.002008276	-1.150694217	-0.767469261	-0.934259294	0.11852644	-1.107365766	cluster1
AT1G20190	0.447397339	-0.582335773	0.052699289	-1.07662975	-1.432498634	-0.839936325	cluster1
AT1G22640	0.329212663	-0.136911385	0.028601891	-0.477687389	-0.506704221	0.184412815	cluster1
AT1G24280	-0.487750791	-1.030139051	-0.277900682	-0.995486707	-1.325887945	-1.127467703	cluster1
AT1G26770	0.306658305	-0.595950668	-0.705384963	-0.675859999	-0.916837046	-1.469010352	cluster1
AT1G27760	0.408466572	0.352311689	-0.665247988	-0.20569975	-1.08815104	-1.570678876	cluster1
AT1G28010	0.142880998	-0.39473339	-0.29190203	-0.712545146	-0.972756664	-0.509910477	cluster1
AT1G28130	-0.145987509	-0.905510391	-1.089609425	-1.002786923	-0.608759522	-1.20336723	cluster1
AT1G28600	0.553581484	0.385228535	-0.125834469	0.33170351	-1.516676564	-0.821215136	cluster1
AT1G28680	0.07495944	0.395480639	-0.039963256	0.034341272	-0.426624939	-0.899200577	cluster1
AT1G29720	0.456877845	0.20680838	-0.379871944	0.004583178	-0.838884103	-1.389174666	cluster1
AT1G29930	-0.47429104	-0.01899771	0.141102838	-0.111543495	-0.008236777	-0.81827084	cluster1
AT1G32200	-0.163499817	-0.255066384	-0.113764449	-0.242380939	-0.45531098	-0.906175335	cluster1
AT1G32240	-0.268850873	-0.915953292	-1.422250544	-1.061342786	-1.426554174	-1.584638086	cluster1
AT1G32440	0.034944895	-0.129396519	-0.366301847	-0.237119157	-0.925254794	-1.204704059	cluster1
AT1G44100	0.262942885	-0.1440145	-0.923227281	0.284782986	-1.58213945	-1.396528676	cluster1
AT1G47490	-0.185094705	-0.401301223	-0.438248586	-0.350911584	-1.258949238	-0.988639265	cluster1
AT1G47530	0.007259808	-0.318457165	-0.711567182	-0.328441196	-1.317020944	-1.473979391	cluster1
AT1G48650	-0.037290531	-0.511365792	-0.848967043	-0.509193299	-1.848575509	-1.493755644	cluster1
AT1G48850	0.036106847	0.087164268	-0.046170261	-0.002717032	-0.563897564	-0.699775237	cluster1
AT1G51420	-0.100430325	-0.474168002	-0.474599313	-0.015787157	-0.495645327	-1.540243102	cluster1
AT1G51680	0.164878001	0.268512595	-0.45252718	-0.046842926	-0.578636868	-1.133432004	cluster1
AT1G53510	-0.191123726	-0.335634779	-0.035766098	-0.923955413	-0.850688139	-0.271095291	cluster1
AT1G55110	0.537875687	0.013466148	-0.348199445	-0.340681227	-0.949518018	-1.110307317	cluster1
AT1G55120	0.147083089	-0.014002167	-0.185351257	-0.155322609	-1.223601417	-1.143320518	cluster1
AT1G56070	-0.159915031	-0.410533838	-0.300851518	-0.151018323	-0.850290695	-1.017428994	cluster1
AT1G56650	0.342271491	0.690300933	-1.243113104	0.321474266	-0.622809817	-2.175542213	cluster1
AT1G56670	0.326987203	0.23638141	-0.377130963	-0.002617427	-1.370902976	-1.153712816	cluster1
AT1G58270	-0.008220088	0.013075944	-0.218822802	-0.248661809	-0.545800836	-0.99346918	cluster1
AT1G58602	0.437064759	0.179447009	-0.100788208	0.187228325	-1.006784601	-0.290515085	cluster1
AT1G61730	-0.24034244	-0.318200132	-0.376133571	-0.851487505	-1.460619819	-0.908909228	cluster1
AT1G61800	3.053362177	0.40700635	-1.480068398	0.838766082	-3.799511881	-1.566390228	cluster1
AT1G62560	0.334389587	0.5088369	0.023653429	0.528808191	-1.098960951	-0.613083382	cluster1
AT1G62780	-0.145479979	-0.234365795	-0.341068013	-0.076539678	-0.396083218	-1.166757732	cluster1
AT1G63670	-0.061836765	-0.613961194	-0.238805435	-1.153190974	-1.332634156	-0.747304299	cluster1
AT1G63940	-0.215550484	-0.581622921	-0.416987028	-0.131306414	-1.138719087	-1.251285795	cluster1
AT1G64390	0.214279062	-0.328863851	-0.61664518	-0.392588512	-1.415636519	-1.669079343	cluster1
AT1G64760	0.459619797	0.05407402	-0.389172473	0.155870988	-1.145845013	-0.616100506	cluster1
AT1G65060	0.397790078	0.207418536	-2.121345014	0.516227935	-1.6825737	-2.675993171	cluster1
AT1G66270	-0.544269912	-0.862724852	-0.415538489	-0.491456616	-0.857719659	-1.425524295	cluster1
AT1G66700	1.337357653	0.329020826	0.261338318	-1.883543226	-2.119405554	-2.937881641	cluster1
AT1G67090	-0.399332633	0.032552698	0.193602137	-0.086805684	0.027003638	-0.621134618	cluster1
AT1G68130	-0.086514029	-0.633571396	-0.650978358	-1.075700157	-0.911086014	-1.073698216	cluster1
AT1G68740	0.613103034	0.248639142	-0.837091929	0.039887035	-1.034373836	-0.919141048	cluster1
AT1G69530	0.477953627	-0.795425521	0.541301672	-1.365171415	-0.731764935	0.013495105	cluster1
AT1G71890	1.03517968	0.095972603	0.407794068	-0.596463261	-1.0182361	-0.486395097	cluster1
AT1G72490	-0.563779595	-1.78008118	-3.485446998	-1.312957761	-2.152041898	-4.054462454	cluster1
AT1G73010	2.273563062	0.974850375	-2.744121056	0.612178683	-2.171385263	-2.344937827	cluster1
AT1G73730	0.242392542	-0.234656837	-0.131902458	-0.504953012	-0.772335126	-0.705667006	cluster1
AT1G74810	0.139988594	0.329234805	-0.791898313	0.87836394	-0.520509201	-1.244160247	cluster1
AT1G75040	-0.116465173	0.52850149	-0.317929188	-0.202393265	-1.30463723	-2.658889496	cluster1
AT1G75990	-0.102623553	-0.404454272	0.031596833	-0.426334545	-0.674415951	-0.571858826	cluster1
AT1G77080	-0.057859944	-0.069865697	0.065865668	-0.211136244	-0.617666203	-1.090661889	cluster1
AT1G77850	0.092021495	0.08910194	0.276942117	-0.949305627	-1.158857231	-0.641868699	cluster1
AT1G78570	0.347740504	0.559627624	-0.784634172	0.611370476	-0.476875561	-1.578141918	cluster1
AT1G79150	-0.046790577	-0.383835139	-0.518337763	-0.572576616	-1.622258187	-1.066309924	cluster1
AT1G79340	0.078609582	-0.019116603	0.042251653	0.037548406	-0.292034755	-0.620816966	cluster1
AT1G80130	1.359189968	0.198264645	-1.807321539	0.238186519	-1.266296523	-2.381184428	cluster1
AT2G01250	-0.298661835	-0.312923089	-0.160731934	-0.256950083	-0.474943112	-0.857745874	cluster1
AT2G01670	0.439418696	0.099225793	-0.126668579	-0.273161538	-0.490088909	-0.145446435	cluster1
AT2G02120	-0.447986893	-0.390530777	-0.447656501	-0.398025931	-0.603996729	-1.883561027	cluster1
AT2G03090	-0.351284139	-1.058297691	-1.118378754	-1.070367816	-2.323075883	-2.011855564	cluster1
AT2G11810	2.250593142	0.892543405	-0.157091223	-0.750638117	-2.227791639	-1.500644926	cluster1
AT2G16430	0.079338852	0.025694227	0.017028396	-0.026598109	-0.847277556	-1.018299102	cluster1
AT2G16500	-0.069213729	-0.290776807	-0.79875642	-0.564666417	-1.357148461	-1.656775754	cluster1
AT2G16890	0.074358494	-0.416960683	-1.03981909	-0.618840971	-1.586008142	-1.954036904	cluster1
AT2G18940	-0.150633309	-0.765683371	-0.950225133	-0.78327735	-1.748833346	-1.456792583	cluster1
AT2G22500	1.863582468	1.119336431	-0.539143331	1.69263881	-1.123909896	-1.881572427	cluster1
AT2G22590	0.401036328	0.69627767	-1.218957606	-0.194716064	-2.041030509	-4.408732437	cluster1
AT2G23420	0.294088672	-0.12186927	-0.792776707	0.026466541	-0.953370489	-1.194091069	cluster1
AT2G23430	0.308757061	-0.127526155	-0.65911732	-0.488434416	-0.644368938	-0.931034389	cluster1
AT2G23470	0.203036856	-0.049504652	-0.252696422	-0.691630583	-0.939407058	-0.261339337	cluster1
AT2G23910	0.453660973	0.126531611	-2.099594509	0.520433028	-1.932354506	-2.198321805	cluster1
AT2G24050	-0.276497694	-0.541130865	-0.709825736	-0.844505007	-1.534094033	-1.320587689	cluster1
AT2G25620	0.202157578	-0.341905867	-0.586663316	-0.386219245	-1.232591841	-1.373057871	cluster1
AT2G27510	-0.279162021	-0.27482157	-0.11933895	-0.319025349	-0.540514113	-1.122877547	cluster1
AT2G27840	-0.110969591	-0.189693544	-0.205006531	-0.386304672	-1.014566929	-0.892229731	cluster1
AT2G28550	-0.072083858	0.074972069	-0.470023567	-0.951274119	-1.219883437	-1.030205858	cluster1
AT2G29970	-0.007534128	-0.331038088	-0.481685337	-0.874686077	-1.003953584	-0.839327188	cluster1
AT2G30620	-0.332394435	-0.590550593	-0.166270625	-1.052412168	-0.46691388	-0.496914873	cluster1
AT2G30770	-0.10060965	-0.151019328	-1.635873996	-0.520808408	-1.628198986	-1.454186051	cluster1
AT2G32990	0.253357885	0.231986085	-0.807935331	0.195608118	0.234516038	-1.742509936	cluster1
AT2G33710	0.043837713	-0.727974627	-0.341813899	-0.529830946	-1.104813182	-1.708064779	cluster1
AT2G35960	0.060441267	-0.072667068	-0.492204127	-0.398461763	-1.323106798	-1.949188046	cluster1
AT2G36970	-0.241416419	-1.368015264	-0.890406558	-1.934184476	-2.284038075	-1.737895174	cluster1
AT2G37040	0.215178325	0.099124129	-0.938917927	0.245269654	-1.238098521	-2.073272008	cluster1
AT2G37100	-0.113390604	-0.895662067	-1.090325446	-1.19442819	-1.426377009	-1.448795044	cluster1
AT2G37220	-0.256031287	-0.277742257	-0.278308792	-0.164522901	-0.619049046	-1.135818627	cluster1
AT2G37710	0.748779609	-0.311345427	-0.621967905	0.260079965	-1.694722727	-1.168519144	cluster1
AT2G37980	-0.501645973	-0.939474842	0.042194403	-1.199235735	-0.889312372	-0.949334435	cluster1
AT2G38230	-0.146937622	-0.233451839	-1.260231405	-0.202106479	-0.93965368	-2.163227257	cluster1
AT2G39040	-1.342521244	-1.341260687	-0.894139338	-1.006989026	-0.040805426	-1.428643912	cluster1
AT2G39710	0.351034337	0.136417902	-1.254586578	-0.955478295	-2.209765786	-1.972624366	cluster1
AT2G40900	-0.267051045	-1.00715882	-1.573797855	-1.204043704	-0.664184051	-1.609489737	cluster1
AT2G41310	-0.178083185	-0.673778811	-0.536052437	-1.061834781	-0.419224521	-0.916655947	cluster1
AT2G41680	-0.138605509	-0.304853305	-0.290438398	-0.188011399	-0.567040308	-1.18020713	cluster1
AT2G41940	-0.443582502	-0.18106376	-0.972648336	-1.40373951	-0.694581032	-0.990059165	cluster1
AT2G42190	0.00101644	0.184003792	0.139620806	-0.772386645	-0.329821288	-0.283692794	cluster1
AT2G43590	0.021861395	-0.142525044	0.09372082	-0.196713712	-0.718726574	-1.164310372	cluster1
AT2G44410	0.148821424	-0.209147717	0.115426262	-0.577274451	-0.510256496	-0.020864254	cluster1
AT2G45300	0.000798889	-0.1136186	-0.274282635	-0.166813529	-0.79499382	-1.13118651	cluster1
AT2G45850	0.027447466	-0.594456552	0.011414797	-0.678404613	-1.301809604	-0.754592354	cluster1
AT2G47250	-0.07137209	-0.274300993	-0.184892257	-0.222777846	-0.747055812	-0.781794809	cluster1
AT2G47370	-0.084898916	-0.110787776	-1.235723984	-0.55347506	-1.533104441	-2.112352906	cluster1
AT2G47490	0.003979369	-0.442689475	-1.099437579	-0.582243216	-1.265927964	-1.465777171	cluster1
AT3G01060	0.25157162	0.281188698	0.307827568	0.189339637	0.033455601	-0.530753997	cluster1
AT3G01260	-0.668500305	-1.776661277	-0.378551711	-1.043946198	-2.284089745	-1.458279166	cluster1
AT3G02030	-0.056935914	-0.031945352	-0.60107179	-0.090488589	-1.357068547	-0.658692489	cluster1
AT3G02040	0.789348188	-0.628177861	-3.02429412	-1.488252286	-2.435702591	-2.485779776	cluster1
AT3G02230	-0.181404301	-0.394654707	-0.117429286	-0.311848601	-0.926046888	-1.13006004	cluster1
AT3G03790	0.695769593	-0.106176504	-0.791907524	-0.113635813	-0.986431682	-1.10189523	cluster1
AT3G04550	-0.271212578	-0.585105557	-0.534049525	-0.30586882	-0.990035202	-1.311327111	cluster1
AT3G05500	0.363458693	0.519922771	-0.114605094	0.206383559	-0.360708306	-1.078508474	cluster1
AT3G05800	-0.880791151	-1.566620098	-1.43002393	-1.978026738	-2.282854559	-1.970241232	cluster1
AT3G07320	0.064011574	-0.052259592	-0.144204326	-0.06927455	-1.172175211	-1.099113109	cluster1
AT3G07720	-0.278202987	-0.686631576	-1.061517167	0.112708629	-1.049523204	-2.28268612	cluster1
AT3G09450	-0.71601183	-1.352849972	-3.537513435	-1.800900063	-1.957872456	-3.337658521	cluster1
AT3G09820	0.05676889	-0.078594704	0.025004441	0.060137924	-0.267891927	-0.686733694	cluster1
AT3G10530	-0.25861691	-0.45382965	-0.305809866	-0.807205924	-1.476468725	-0.77886736	cluster1
AT3G10610	-0.210169408	-0.206514949	-0.362313533	-0.406428968	-0.670039322	-1.05425155	cluster1
AT3G12320	0.431814069	0.103221869	-0.536617049	-0.344662639	-0.261417774	-1.150561899	cluster1
AT3G13080	0.391887361	0.274449282	-0.504524946	0.571268546	-0.706975588	-1.14638811	cluster1
AT3G13330	-0.091686322	-0.296290338	-0.104923649	-0.21693464	-0.987883129	-1.108443269	cluster1
AT3G13600	-0.110460184	-1.015596696	-0.831507062	-1.576583306	-1.7823645	-1.669659551	cluster1
AT3G13810	-0.012780903	0.026470874	-0.353803168	-0.704136184	-0.785648824	-0.676900145	cluster1
AT3G13920	-0.126493569	-0.193280481	-0.122830918	-0.203318135	-0.740489656	-0.928705763	cluster1
AT3G14770	-0.38559365	-1.008676304	-1.364425192	-1.200039054	-1.200332483	-1.772394998	cluster1
AT3G14790	-0.164480011	-0.494190631	-0.286953028	-0.528608585	-1.015053678	-0.958951209	cluster1
AT3G15030	0.009388633	-0.080231879	-0.385336509	-0.565064206	-1.199303128	-0.980008115	cluster1
AT3G16390	-0.380322645	-0.680827826	-0.936111255	-0.383230969	-1.500148745	-3.272322241	cluster1
AT3G16560	0.037592002	-0.214440131	0.244172884	-0.963553116	-0.738178767	-0.235046906	cluster1
AT3G16660	-0.556309021	-0.72947	-0.385842978	-0.497070539	-0.883403195	-0.991635096	cluster1
AT3G17510	0.315173974	-0.650368398	-0.84217227	-0.774350781	-1.199493186	-1.033170148	cluster1
AT3G18010	-0.654589068	-1.550241938	-2.591817084	-1.629537347	-1.439448978	-2.734985554	cluster1
AT3G19450	-0.10376823	-0.325379029	-0.869120532	-0.329837913	-1.227667322	-1.619898785	cluster1
AT3G19970	0.382884584	0.349046507	-1.631162917	0.05220793	-1.472812508	-1.839812812	cluster1
AT3G21110	-0.263650813	-0.439965574	-0.374379222	-0.455185301	-1.089325885	-1.185806686	cluster1
AT3G21540	-0.162733624	-0.416337206	-0.554060492	-0.526940793	-1.60964171	-1.059841278	cluster1
AT3G21560	-0.303542732	-1.195225027	-1.931682646	-0.88794074	-2.343451952	-2.506437983	cluster1
AT3G21690	0.02535322	-0.527093911	-0.736700735	-0.474907316	-1.737208042	-1.150662789	cluster1
AT3G22104	-0.098358795	-0.436644827	-0.28022953	-0.894918098	-0.730306238	-0.223282331	cluster1
AT3G22840	-0.38332308	-0.59750059	-2.380445473	-0.078019365	-1.379925566	-4.302267242	cluster1
AT3G23810	0.22751347	0.456282126	0.24589913	0.079325868	-0.586678049	-1.347217962	cluster1
AT3G24190	0.036425661	-0.515176026	-1.12923604	-0.256175062	-1.353631614	-1.955471975	cluster1
AT3G24300	-0.778346381	-1.727335081	-0.418065345	-1.251307068	-2.135096474	-1.190923813	cluster1
AT3G25030	-0.425772822	-0.689110045	-1.385770027	-1.306312602	-1.511521639	-1.807344265	cluster1
AT3G25250	0.949600981	-1.166637808	-1.305605725	-0.665165405	-2.893682027	-3.362066144	cluster1
AT3G26310	0.233302464	-0.061395324	-0.093043936	-0.609077698	-0.534683655	-0.011995657	cluster1
AT3G26590	0.341809488	0.164811775	-0.06282401	0.209954609	-0.963148949	-0.674002226	cluster1
AT3G27740	-0.144313015	-0.324371374	-0.240874304	-0.181270252	-0.633200057	-0.83375951	cluster1
AT3G28740	-0.182940581	-0.42812778	0.677411505	0.229512008	-0.027775875	-0.304973707	cluster1
AT3G29575	0.934579674	0.104017161	-1.131450777	0.311860063	-0.096204391	-1.99486786	cluster1
AT3G44550	-0.060207023	-0.04319468	-0.897200045	-0.358115728	-0.86030844	-2.037393043	cluster1
AT3G44735	0.101109435	-0.00492052	-1.113921596	-0.675440123	-0.856487134	-0.741480116	cluster1
AT3G47080	0.772868773	0.358392616	-0.485523506	0.297079359	-0.792093686	-1.082491222	cluster1
AT3G47420	0.138816959	-1.015438964	-2.938477877	-1.513083786	-1.627874311	-2.524190742	cluster1
AT3G47500	-0.035830958	-0.116533981	0.249967162	-1.170275132	-0.662011826	-0.3989617	cluster1
AT3G47520	-0.222788315	-0.424361562	-0.403667482	-0.335911249	-0.795551928	-0.996258023	cluster1
AT3G47780	0.004163482	-0.3517344	-0.908286759	0.045798213	-1.35005191	-1.915761522	cluster1
AT3G48100	-0.118260647	-0.615175531	-0.261173738	-0.944111337	-0.487728834	-0.453583138	cluster1
AT3G49190	-0.385158161	-0.927951099	0.145309931	-0.61218907	-1.142171693	-1.507039909	cluster1
AT3G49670	-0.311241136	-0.575762163	-0.988682888	-1.061025086	-1.392282891	-1.281947359	cluster1
AT3G50240	0.137839554	0.159843105	-0.234535053	-0.325902784	-0.944896672	-0.638760705	cluster1
AT3G50760	1.106346524	0.305119046	0.069474563	0.331143368	-1.207237906	-0.871761029	cluster1
AT3G51820	-0.048381553	-0.267301445	-0.356092962	-0.126746278	-0.530141147	-1.035869216	cluster1
AT3G53260	0.35134391	-0.076409954	-0.60648139	-0.019467793	-1.315428128	-1.271580956	cluster1
AT3G54050	-0.030172001	-0.145465177	0.061083421	0.136998776	-0.181036484	-0.640143491	cluster1
AT3G54660	0.055233862	-0.082605996	-0.105946693	-0.06001221	-0.891804995	-1.111167034	cluster1
AT3G54950	0.315633525	0.331101589	-0.190067314	-0.24065753	-0.695429762	-0.971380082	cluster1
AT3G54990	-0.127586344	-0.514834692	-1.171809402	-0.704967304	-1.932034224	-1.782293859	cluster1
AT3G55120	0.139099543	0.498639089	-0.506152727	0.361405845	-0.749265123	-2.345079847	cluster1
AT3G55400	-0.269690598	-0.425642386	-0.435265598	-0.286529678	-0.832856548	-1.233429896	cluster1
AT3G55520	0.050491075	-0.135592441	-0.08232987	-0.680858237	-0.982662549	-0.921160529	cluster1
AT3G55580	0.964329069	-0.011490729	-0.884942231	1.570395088	0.056512487	-2.493107888	cluster1
AT3G56200	0.143298464	0.861984285	-1.048783973	0.772912706	-0.699246224	-1.296254029	cluster1
AT3G56300	-0.261916855	-0.925387058	-1.13812977	-1.197328593	-1.22827017	-1.891093909	cluster1
AT3G57010	0.057913051	-0.956146506	-1.448247992	-0.782259503	-0.734998919	-2.504824859	cluster1
AT3G57150	-0.211904384	-0.540903586	-0.641252592	-0.461346998	-1.214057737	-1.252714587	cluster1
AT3G59670	0.068083189	-0.097101511	-0.5150949	-0.615708671	-1.704629763	-1.177992848	cluster1
AT3G62460	0.008118179	-0.411498363	-0.525922906	-0.649068113	-1.729878652	-1.274251195	cluster1
AT4G00370	-0.014523426	-0.223987486	-0.515034432	-0.211184578	-1.224729908	-1.223924787	cluster1
AT4G02280	1.010270595	0.225059111	-0.820473094	0.179710021	-0.571115854	-1.677613858	cluster1
AT4G04210	0.141915605	-0.122126901	0.072907851	-0.292097882	-0.76344869	-0.545879694	cluster1
AT4G04570	0.171447447	0.223168066	-0.238266232	0.193146563	-1.083483792	-0.620447772	cluster1
AT4G04610	0.084890948	0.532093044	-0.716989305	0.562144222	-0.980422974	-0.97851647	cluster1
AT4G04750	0.510233002	0.353480231	-0.04355911	0.453946112	-0.86943002	-0.679068733	cluster1
AT4G04850	0.137755529	-0.034265125	-0.012223956	-0.098924421	-0.581189164	-0.648218143	cluster1
AT4G10120	0.552907152	0.267460167	-0.878969315	0.237719268	-1.263344906	-1.992089875	cluster1
AT4G10450	-0.287151997	-0.343353258	-0.387299392	-0.400997818	-0.84977638	-1.013857312	cluster1
AT4G10480	-0.168474085	-0.280363405	-0.328936874	-0.211255601	-0.527407624	-0.889575125	cluster1
AT4G11440	0.215401122	-0.371362397	-0.03180944	-0.794702122	-0.840446617	-0.190064067	cluster1
AT4G12830	0.027184092	-0.233867351	-0.465515324	-0.209356311	-0.85644563	-1.35709088	cluster1
AT4G13410	0.015599289	0.590468522	0.479677146	-0.009760078	-0.772336895	-1.786081856	cluster1
AT4G13650	0.014276713	-0.796483746	-0.431584048	-0.891058474	-1.627657173	-0.733098928	cluster1
AT4G13930	-0.100415543	-0.158499602	-0.484669423	-0.293188893	-1.236537665	-1.465258336	cluster1
AT4G14690	-0.401427813	-0.667727011	-2.11918472	-0.451767855	-1.211829794	-5.487337314	cluster1
AT4G15480	0.601341353	-0.178650473	-2.44945939	0.578414062	-2.302607156	-3.342218433	cluster1
AT4G15490	0.876962823	0.099853114	0.004527082	0.325839994	-0.91393496	-0.874997705	cluster1
AT4G17880	-0.211129104	-0.656640898	-1.450532674	-1.254417805	-1.460060385	-1.48452019	cluster1
AT4G18290	-0.166916748	-0.784465007	-0.538849787	-1.011269788	-1.364037003	-0.484059517	cluster1
AT4G19120	0.025242377	0.082440615	-0.027523702	-0.55029428	-0.898485352	-1.161946613	cluster1
AT4G19390	0.529776318	-0.219820831	0.047931902	-0.113302389	-1.749485076	-0.702198233	cluster1
AT4G19710	-0.140190603	-0.446374955	-0.493333825	-0.132427732	-0.922895014	-1.197329812	cluster1
AT4G20000	1.180059978	-0.602012313	0.174297442	-0.968870599	-0.712391927	-0.206094946	cluster1
AT4G21670	0.022071348	-0.238356602	-0.182380173	-0.388991591	-1.388771592	-0.577623956	cluster1
AT4G21770	-0.211112642	-0.546102983	-0.468928352	-0.438071002	-0.998547676	-1.235379189	cluster1
AT4G23700	-0.205680429	-1.076476921	0.431766927	-0.747322056	-0.479347944	-1.052710781	cluster1
AT4G23750	-0.21722797	-0.544020629	-0.989554524	-1.24827799	-1.265077697	-1.203487937	cluster1
AT4G24620	-0.109208157	-0.357658572	-0.150983016	-0.058262233	-0.76214002	-0.848357139	cluster1
AT4G24780	-0.058341002	-0.919837109	-0.644423566	-0.882042064	-1.322202817	-0.930795228	cluster1
AT4G25260	-0.275946251	-0.536039162	-0.248596868	-1.145420245	-0.655317468	-0.230630018	cluster1
AT4G25450	-0.016576124	-0.365506941	-0.324849094	-0.080030385	-0.797359921	-1.321876257	cluster1
AT4G25630	-0.335082165	-0.372254558	-0.491201819	-0.551200044	-1.431269736	-1.579096979	cluster1
AT4G25640	0.173614792	-0.408044949	-1.138862954	0.111042229	-1.726076896	-1.774419714	cluster1
AT4G25990	-0.335324422	-0.655830502	-0.249850003	-1.952454393	-1.553787924	-0.410114515	cluster1
AT4G26150	-1.367118767	-2.656466444	-4.104242882	-2.774137483	-2.780791299	-3.584403044	cluster1
AT4G26850	0.066899561	-0.218815814	-2.226565093	-0.072509457	-1.241320653	-2.410182823	cluster1
AT4G26860	-0.02993909	0.05324375	-0.147303327	-0.23881339	-0.42788696	-1.058854236	cluster1
AT4G26940	0.087076267	-0.157617091	0.04628211	-0.184821842	-0.631047142	-0.782713423	cluster1
AT4G27310	0.112741652	-0.315525757	0.19314968	-0.958270653	-0.414944787	-0.241255308	cluster1
AT4G27520	0.262539132	0.236123261	-0.67374792	0.29690954	-0.491971403	-1.535567771	cluster1
AT4G27560	0.311306565	0.760798872	-0.075378619	0.361875799	-0.447669987	-1.400702599	cluster1
AT4G28660	-0.132592598	-0.088988562	-0.267957883	-0.07313747	-0.215293512	-1.013968719	cluster1
AT4G29690	-0.49639988	-0.306121345	-0.636424532	-0.473396542	-1.064526653	-2.004557527	cluster1
AT4G29720	0.04940408	-0.149090383	-0.285291063	-0.888088966	-1.156441664	-0.68832965	cluster1
AT4G30080	0.129369963	0.029743579	0.484254859	-0.631192435	-0.321953548	0.022719752	cluster1
AT4G31390	0.037139955	-0.364893418	-0.657598644	-0.131509813	-1.200813479	-1.573930687	cluster1
AT4G31700	-0.237972845	-0.237250041	-0.16938554	-0.267734915	-0.437248409	-0.895645952	cluster1
AT4G32020	0.685912039	0.094898611	-0.210931166	-0.113232849	-0.94512606	-0.570251231	cluster1
AT4G32295	0.08212942	-0.3914919	-1.364827398	-0.699516837	-0.974062517	-1.055198785	cluster1
AT4G32920	0.443750786	0.129733616	-0.839149239	0.222796127	-1.199028217	-1.339736096	cluster1
AT4G32950	-0.348850754	-0.580257299	1.14627089	-0.667856736	-1.133012062	-1.829417503	cluster1
AT4G34550	0.118731216	-0.80148479	-2.089212262	-1.186248844	-3.118039869	-3.14006611	cluster1
AT4G34740	-0.371534798	-0.759273302	-0.41409944	-1.292393683	-2.491459168	-1.625896222	cluster1
AT4G34980	0.116857116	-0.13069652	-0.227531649	-0.256213312	-1.14023434	-0.608254842	cluster1
AT4G35030	-0.292478225	-0.498428213	0.061480698	-1.143856306	-0.995951048	-0.393240571	cluster1
AT4G35160	-0.341057442	-0.142951579	0.019840009	-0.668471817	-0.267155553	-1.341763176	cluster1
