gene	Primary_Gene_Symbol	heatRelated
AT2G30620	NA	NA
AT2G30770	CYTOCHROME P450, FAMILY 71, SUBFAMILY A, POLYPEPTIDE 13 (CYP71A13)	No
AT2G32990	GLYCOSYL HYDROLASE 9B8 (GH9B8)	No
AT2G33710	NA	NA
AT2G35960	NDR1/HIN1-LIKE 12 (NHL12)	No
AT2G36970	NA	NA
AT2G37040	PHE AMMONIA LYASE 1 (pal1)	No
AT2G37100	NA	NA
AT2G37220	NA	NA
AT2G37710	RECEPTOR LECTIN KINASE (RLK)	No
AT2G37980	NA	NA
AT2G38230	PYRIDOXINE BIOSYNTHESIS 1.1 (PDX1.1)	No
AT2G39040	NA	NA
AT2G39710	NA	NA
AT2G40900	NA	NA
AT2G41310	RESPONSE REGULATOR 3 (RR3)	No
AT2G41680	NADPH-DEPENDENT THIOREDOXIN REDUCTASE C (NTRC)	No
AT2G41940	ZINC FINGER PROTEIN 8 (ZFP8)	No
AT2G42190	NA	NA
AT2G43590	NA	NA
AT2G44410	NA	NA
AT2G45300	NA	NA
AT2G45850	NA	NA
AT2G47250	NA	NA
AT2G47370	NA	NA
AT2G47490	NAD+ TRANSPORTER 1 (NDT1)	No
AT3G01060	NA	NA
AT3G01260	NA	NA
AT3G02030	NA	NA
AT3G02040	SENESCENCE-RELATED GENE 3 (SRG3)	No
AT3G02230	REVERSIBLY GLYCOSYLATED POLYPEPTIDE 1 (RGP1)	No
AT3G03790	NA	NA
AT3G04550	NA	NA
AT3G05500	NA	NA
AT3G05800	ATBS1(ACTIVATION-TAGGED BRI1 SUPPRESSOR 1)-INTERACTING FACTOR 1 (AIF1)	No
AT3G07320	NA	NA
AT3G07720	NA	NA
AT3G09450	NA	NA
AT3G09820	ADENOSINE KINASE 1 (ADK1)	No
AT3G10530	NA	NA
AT3G10610	NA	NA
AT3G12320	NA	NA
AT3G13080	ATP-BINDING CASSETTE C3 (ABCC3)	No
AT3G13330	PROTEASOME ACTIVATING PROTEIN 200 (PA200)	No
AT3G13600	NA	NA
AT3G13810	INDETERMINATE(ID)-DOMAIN 11 (IDD11)	No
AT3G13920	EUKARYOTIC TRANSLATION INITIATION FACTOR 4A1 (EIF4A1)	No
AT3G14770	(SWEET2)	No
AT3G14790	RHAMNOSE BIOSYNTHESIS 3 (RHM3)	No
AT3G15030	TCP FAMILY TRANSCRIPTION FACTOR 4 (TCP4)	No
AT3G16390	NITRILE SPECIFIER PROTEIN 3 (NSP3)	No
AT3G16560	NA	NA
AT3G16660	NA	NA
AT3G17510	CBL-INTERACTING PROTEIN KINASE 1 (CIPK1)	No
AT3G18010	WUSCHEL RELATED HOMEOBOX 1 (WOX1)	No
AT3G19450	(ATCAD4)	No
AT3G19970	NA	NA
AT3G21110	PURIN 7 (PUR7)	No
AT3G21540	NA	NA
AT3G21560	UDP-GLUCOSYL TRANSFERASE 84A2 (UGT84A2)	No
AT3G21690	NA	NA
AT3G22104	NA	NA
AT3G22840	EARLY LIGHT-INDUCABLE PROTEIN (ELIP1)	No
AT3G23810	S-ADENOSYL-L-HOMOCYSTEINE (SAH) HYDROLASE 2 (SAHH2)	No
AT3G24190	NA	NA
AT3G24300	AMMONIUM TRANSPORTER 1;3 (AMT1;3)	No
AT3G25030	NA	NA
AT3G25250	(AGC2-1)	No
AT3G26310	CYTOCHROME P450, FAMILY 71, SUBFAMILY B, POLYPEPTIDE 35"" (CYP71B35)	No
AT3G26590	NA	NA
AT3G27740	CARBAMOYL PHOSPHATE SYNTHETASE A (CARA)	No
AT3G28740	CYTOCHROME P450, FAMILY 81, SUBFAMILY D, POLYPEPTIDE 11 (CYP81D11)	No
AT3G29575	ABI FIVE BINDING PROTEIN 3 (AFP3)	No
AT3G44550	FATTY ACID REDUCTASE 5 (FAR5)	No
AT3G44735	PHYTOSULFOKINE 3 PRECURSOR (PSK3)	No
AT3G47080	NA	NA
AT3G47420	GLYCEROL-3-PHOSPHATE PERMEASE 1 (G3Pp1)	No
AT3G47500	CYCLING DOF FACTOR 3 (CDF3)	No
AT3G47520	MALATE DEHYDROGENASE (MDH)	No
AT3G47780	ATP-BINDING CASSETTE A7 (ABCA7)	No
AT3G48100	RESPONSE REGULATOR 5 (RR5)	No
AT3G49190	NA	NA
AT3G49670	BARELY ANY MERISTEM 2 (BAM2)	No
AT3G50240	(KICP-02)	No
AT3G50760	GALACTURONOSYLTRANSFERASE-LIKE 2 (GATL2)	No
AT3G51820	(G4)	No
AT3G53260	PHENYLALANINE AMMONIA-LYASE 2 (PAL2)	No
AT3G54050	HIGH CYCLIC ELECTRON FLOW 1 (HCEF1)	No
AT3G54660	GLUTATHIONE REDUCTASE (GR)	No
AT3G54950	PATATIN-RELATED PHOSPHOLIPASE IIIBETA (pPLAIIIbeta)	No
AT3G54990	SCHLAFMUTZE (SMZ)	No
AT3G55120	TRANSPARENT TESTA 5 (TT5)	No
AT3G55400	OVULE ABORTION 1 (OVA1)	No
AT3G55520	NA	NA
AT3G55580	NA	NA
AT3G56200	NA	NA
AT3G56300	NA	NA
AT3G57010	NA	NA
AT3G57150	HOMOLOGUE OF NAP57 (NAP57)	No
AT3G59670	NA	NA
AT3G62460	NA	NA
AT4G00370	(ANTR2)	No
AT4G02280	SUCROSE SYNTHASE 3 (SUS3)	No
AT4G04210	PLANT UBX DOMAIN CONTAINING PROTEIN 4 (PUX4)	No
AT4G04570	CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 40 (CRK40)	No
AT4G04610	APS REDUCTASE 1 (APR1)	No
AT4G04750	NA	NA
AT4G04850	K+ EFFLUX ANTIPORTER 3 (KEA3)	No
AT4G10120	(ATSPS4F)	No
AT4G10450	NA	NA
AT4G10480	NA	NA
AT4G11440	NA	NA
AT4G12830	NA	NA
AT4G13410	(ATCSLA15)	No
AT4G13650	NA	NA
AT4G13930	SERINE HYDROXYMETHYLTRANSFERASE 4 (SHM4)	No
AT4G14690	EARLY LIGHT-INDUCIBLE PROTEIN 2 (ELIP2)	No
AT4G15480	(UGT84A1)	No
AT4G15490	(UGT84A3)	No
AT4G17880	(MYC4)	No
AT4G18290	POTASSIUM CHANNEL IN ARABIDOPSIS THALIANA 2 (KAT2)	No
AT4G19120	EARLY-RESPONSIVE TO DEHYDRATION 3 (ERD3)	No
AT4G19390	NA	NA
AT4G19710	ASPARTATE KINASE-HOMOSERINE DEHYDROGENASE II (AK-HSDH II)	No
AT4G20000	NA	NA
AT4G21670	C-TERMINAL DOMAIN PHOSPHATASE-LIKE 1 (CPL1)	No
AT4G21770	NA	NA
AT4G23700	CATION/H+ EXCHANGER 17 (CHX17)	No
AT4G23750	CYTOKININ RESPONSE FACTOR 2 (CRF2)	No
AT4G24620	PHOSPHOGLUCOSE ISOMERASE 1 (PGI1)	No
AT4G24780	NA	NA
AT4G25260	NA	NA
AT4G25450	ATP-BINDING CASSETTE B28 (ABCB28)	No
AT4G25630	FIBRILLARIN 2 (FIB2)	No
AT4G25640	DETOXIFYING EFFLUX CARRIER 35 (DTX35)	No
AT4G25990	(CIL)	No
AT4G26150	CYTOKININ-RESPONSIVE GATA FACTOR 1 (CGA1)	No
AT4G26850	VITAMIN C DEFECTIVE 2 (VTC2)	No
AT4G26860	NA	NA
AT4G26940	NA	NA
AT4G27310	NA	NA
AT4G27520	EARLY NODULIN-LIKE PROTEIN 2 (ENODL2)	No
AT4G27560	NA	NA
AT4G28660	PHOTOSYSTEM II REACTION CENTER PSB28 PROTEIN (PSB28)	No
AT4G29690	NA	NA
AT4G29720	POLYAMINE OXIDASE 5 (PAO5)	No
AT4G30080	AUXIN RESPONSE FACTOR 16 (ARF16)	No
AT4G31390	ABC1-LIKE KINASE RELATED TO CHLOROPHYLL DEGRADATION AND OXIDATIVE STRESS 1 (ACDO1)	No
AT4G31700	RIBOSOMAL PROTEIN S6 (RPS6)	No
AT4G32020	NA	NA
AT4G32295	NA	NA
AT4G32920	NA	NA
AT4G32950	NA	NA
AT4G34550	NA	NA
AT4G34740	GLN PHOSPHORIBOSYL PYROPHOSPHATE AMIDOTRANSFERASE 2 (ASE2)	No
AT4G34980	SUBTILISIN-LIKE SERINE PROTEASE 2 (SLP2)	No
AT4G35030	NA	NA
AT4G35160	NA	NA
AT4G35270	NA	NA
AT4G36220	FERULIC ACID 5-HYDROXYLASE 1 (FAH1)	No
AT4G38620	MYB DOMAIN PROTEIN 4 (MYB4)	No
AT4G38960	NA	NA
AT4G39320	NA	NA
AT4G39710	PHOTOSYNTHETIC NDH SUBCOMPLEX L 4 (PnsL4)	No
AT4G39960	NA	NA
AT5G01410	REDUCED SUGAR RESPONSE 4 (RSR4)	No
AT5G02780	GLUTATHIONE TRANSFERASE LAMBDA 1 (GSTL1)	No
AT5G03680	PETAL LOSS (PTL)	No
AT5G04590	SULFITE REDUCTASE (SIR)	No
AT5G05270	CHALCONE ISOMERASE LIKE (CHIL)	No
AT5G06060	NA	NA
AT5G06790	NA	NA
AT5G07990	TRANSPARENT TESTA 7 (TT7)	No
AT5G08260	SERINE CARBOXYPEPTIDASE-LIKE 35 (scpl35)	No
AT5G08570	NA	NA
AT5G08640	FLAVONOL SYNTHASE 1 (FLS1)	No
AT5G09870	CELLULOSE SYNTHASE 5 (CESA5)	No
AT5G12010	NA	NA
AT5G13180	NAC DOMAIN CONTAINING PROTEIN 83 (NAC083)	No
AT5G13430	NA	NA
AT5G13630	GENOMES UNCOUPLED 5 (GUN5)	No
AT5G14640	SHAGGY-LIKE KINASE 13 (SK13)	No
AT5G14650	NA	NA
AT5G14760	L-ASPARTATE OXIDASE (AO)	No
AT5G15640	NA	NA
AT5G15650	REVERSIBLY GLYCOSYLATED POLYPEPTIDE 2 (RGP2)	No
AT5G15790	NA	NA
AT5G15910	NA	NA
AT5G17010	NA	NA
AT5G18430	NA	NA
AT5G19090	NA	NA
AT5G19240	NA	NA
AT5G20110	NA	NA
AT5G20150	SPX DOMAIN GENE 1 (SPX1)	No
AT5G20710	BETA-GALACTOSIDASE 7 (BGAL7)	No
AT5G22300	NITRILASE 4 (NIT4)	No
AT5G22480	NA	NA
AT5G23020	2-ISOPROPYLMALATE SYNTHASE 2 (IMS2)	No
AT5G23100	NA	NA
AT5G24850	CRYPTOCHROME 3 (CRY3)	No
AT5G24870	NA	NA
AT5G25840	NA	NA
AT5G25890	INDOLE-3-ACETIC ACID INDUCIBLE 28 (IAA28)	No
AT5G26230	MEMBRANE-ASSOCIATED KINASE REGULATOR 1 (MAKR1)	No
AT5G26290	NA	NA
AT5G28919	NA	NA
AT5G35970	NA	NA
AT5G38520	NA	NA
AT5G39710	EMBRYO DEFECTIVE 2745 (EMB2745)	No
AT5G40390	SEED IMBIBITION 1-LIKE (SIP1)	No
AT5G41130	NA	NA
AT5G41900	NA	NA
AT5G43630	(TZP)	No
AT5G44110	ATP-BINDING CASSETTE A21 (ABCI21)	No
AT5G45280	NA	NA
AT5G45460	NA	NA
AT5G48590	NA	NA
AT5G49030	OVULE ABORTION 2 (OVA2)	No
AT5G49280	NA	NA
AT5G50740	NA	NA
AT5G50800	(SWEET13)	No
AT5G52650	NA	NA
AT5G52660	NA	NA
AT5G53290	CYTOKININ RESPONSE FACTOR 3 (CRF3)	No
AT5G53750	NA	NA
AT5G54130	NA	NA
AT5G54370	NA	NA
AT5G54470	NA	NA
AT5G55070	NA	NA
AT5G55570	NA	NA
AT5G55580	NA	NA
AT5G55920	OLIGOCELLULA 2 (OLI2)	No
AT5G56320	EXPANSIN A14 (EXPA14)	No
AT5G56860	GATA, NITRATE-INDUCIBLE, CARBON METABOLISM-INVOLVED (GNC)	No
AT5G57010	NA	NA
AT5G58420	NA	NA
AT5G59350	NA	NA
AT5G59480	NA	NA
AT5G59670	NA	NA
AT5G59850	NA	NA
AT5G59870	HISTONE H2A 6 (HTA6)	No
AT5G60790	ATP-BINDING CASSETTE F1 (ABCF1)	No
AT5G61170	NA	NA
AT5G61570	NA	NA
AT5G62220	GLYCOSYLTRANSFERASE 18 (GT18)	No
AT5G62680	NA	NA
AT5G63120	NA	NA
AT5G65310	HOMEOBOX PROTEIN 5 (HB5)	No
AT1G01240	NA	NA
AT1G02460	NA	NA
AT1G02920	GLUTATHIONE S-TRANSFERASE 7 (GSTF7)	No
AT1G03090	(MCCA)	No
AT1G03220	NA	NA
AT1G03610	NA	NA
AT1G03850	GLUTAREDOXIN 13 (GRXS13)	No
AT1G04400	CRYPTOCHROME 2 (CRY2)	No
AT1G08300	NO VEIN-LIKE (NVL)	No
AT1G12560	EXPANSIN A7 (EXPA7)	No
AT1G12780	UDP-D-GLUCOSE/UDP-D-GALACTOSE 4-EPIMERASE 1 (UGE1)	No
AT1G13080	CYTOCHROME P450, FAMILY 71, SUBFAMILY B, POLYPEPTIDE 2"" (CYP71B2)	No
AT1G13300	HYPERSENSITIVITY TO LOW PI-ELICITED PRIMARY ROOT SHORTENING 1 (HRS1)	No
AT1G14700	PURPLE ACID PHOSPHATASE 3 (PAP3)	No
AT1G15670	NA	NA
AT1G15740	NA	NA
AT1G19530	NA	NA
AT1G19660	NA	NA
AT1G21550	NA	NA
AT1G22370	UDP-GLUCOSYL TRANSFERASE 85A5 (UGT85A5)	No
AT1G22500	ARABIDOPSIS TOXICOS EN LEVADURA 15 (ATL15)	No
AT1G23390	NA	NA
AT1G23870	TREHALOSE-PHOSPHATASE/SYNTHASE 9 (TPS9)	No
AT1G25230	NA	NA
AT1G27350	NA	NA
AT1G28260	NA	NA
AT1G29910	CHLOROPHYLL A/B BINDING PROTEIN 3 (CAB3)	No
AT1G30520	ACYL-ACTIVATING ENZYME 14 (AAE14)	No
AT1G30720	NA	NA
AT1G32260	NA	NA
AT1G32400	TOBAMOVIRUS MULTIPLICATION 2A (TOM2A)	No
AT1G33055	NA	NA
AT1G33780	NA	NA
AT1G49130	NA	NA
AT1G49320	UNKNOWN SEED PROTEIN LIKE 1 (USPL1)	No
AT1G53210	NA	NA
AT1G53730	STRUBBELIG-RECEPTOR FAMILY 6 (SRF6)	No
AT1G54890	NA	NA
AT1G56300	NA	NA
AT1G60140	TREHALOSE PHOSPHATE SYNTHASE (TPS10)	No
AT1G60470	GALACTINOL SYNTHASE 4 (GolS4)	No
AT1G62510	NA	NA
AT1G64200	VACUOLAR H+-ATPASE SUBUNIT E ISOFORM 3 (VHA-E3)	No
AT1G64720	(CP5)	No
AT1G67325	NA	NA
AT1G68150	WRKY DNA-BINDING PROTEIN 9 (WRKY9)	No
AT1G68190	NA	NA
AT1G72820	NA	NA
AT1G73260	KUNITZ TRYPSIN INHIBITOR 1 (KTI1)	No
AT1G75380	BIFUNCTIONAL NUCLEASE IN BASAL DEFENSE RESPONSE 1 (BBD1)	No
AT1G75750	GAST1 PROTEIN HOMOLOG 1 (GASA1)	No
AT1G76080	CHLOROPLASTIC DROUGHT-INDUCED STRESS PROTEIN OF 32 KD (CDSP32)	No
AT1G76240	NA	NA
AT1G77330	NA	NA
AT1G80180	NA	NA
AT1G80440	NA	NA
AT1G80920	(J8)	No
AT2G01870	NA	NA
AT2G15890	MATERNAL EFFECT EMBRYO ARREST 14 (MEE14)	No
AT2G18700	TREHALOSE PHOSPHATASE/SYNTHASE 11 (TPS11)	No
AT2G18770	NA	NA
AT2G22990	SINAPOYLGLUCOSE 1 (SNG1)	No
AT2G24550	NA	NA
AT2G24580	NA	NA
AT2G25950	NA	NA
AT2G26560	PHOSPHOLIPASE A 2A (PLA2A)	No
AT2G26820	PHLOEM PROTEIN 2-A3 (PP2-A3)	No
AT2G27310	NA	NA
AT2G29400	TYPE ONE PROTEIN PHOSPHATASE 1 (TOPP1)	No
AT2G31110	NA	NA
AT2G32150	NA	NA
AT2G32270	ZINC TRANSPORTER 3 PRECURSOR (ZIP3)	No
AT2G32880	NA	NA
AT2G34610	NA	NA
AT2G34620	NA	NA
AT2G36690	NA	NA
AT2G36750	UDP-GLUCOSYL TRANSFERASE 73C1 (UGT73C1)	No
AT2G39570	ACT DOMAIN REPEATS 9 (ACR9)	No
AT2G40610	EXPANSIN A8 (EXPA8)	No
AT2G40970	(MYBC1)	No
AT2G42040	NA	NA
AT2G42330	NA	NA
AT2G42850	CYTOCHROME P450, FAMILY 718"" (CYP718)	No
AT2G44080	ARGOS-LIKE (ARL)	No
AT2G45170	AUTOPHAGY 8E (ATG8E)	No
AT2G46030	UBIQUITIN-CONJUGATING ENZYME 6 (UBC6)	No
AT3G02550	LOB DOMAIN-CONTAINING PROTEIN 41 (LBD41)	No
AT3G04730	INDOLEACETIC ACID-INDUCED PROTEIN 16 (IAA16)	No
AT3G06850	(BCE2)	No
AT3G10040	NA	NA
AT3G10985	SENESCENCE ASSOCIATED GENE 20 (SAG20)	No
AT3G11370	NA	NA
AT3G12150	NA	NA
AT3G15770	NA	NA
AT3G18773	NA	NA
AT3G21710	NA	NA
AT3G22100	NA	NA
AT3G23080	NA	NA
AT3G23150	ETHYLENE RESPONSE 2 (ETR2)	No
AT3G24100	NA	NA
AT3G25760	ALLENE OXIDE CYCLASE 1 (AOC1)	No
AT3G26290	CYTOCHROME P450, FAMILY 71, SUBFAMILY B, POLYPEPTIDE 26"" (CYP71B26)	No
AT3G26890	NA	NA
AT3G29240	NA	NA
AT3G29810	COBRA-LIKE PROTEIN 2 PRECURSOR (COBL2)	No
AT3G30775	EARLY RESPONSIVE TO DEHYDRATION 5 (ERD5)	No
AT3G47160	NA	NA
AT3G47680	NA	NA
AT3G47720	SIMILAR TO RCD ONE 4 (SRO4)	No
AT3G47800	NA	NA
AT3G48530	SNF1-RELATED PROTEIN KINASE REGULATORY SUBUNIT GAMMA 1 (KING1)	No
AT3G49790	NA	NA
AT3G50480	HOMOLOG OF RPW8 4 (HR4)	No
AT3G51840	ACYL-COA OXIDASE 4 (ACX4)	No
AT3G55240	NA	NA
AT3G56000	CELLULOSE SYNTHASE LIKE A14 (CSLA14)	No
AT3G59940	NA	NA
AT3G61060	PHLOEM PROTEIN 2-A13 (PP2-A13)	No
AT3G63210	(MARD1)	No
AT3G63380	NA	NA
AT4G01330	NA	NA
AT4G13830	DNAJ-LIKE 20 (J20)	No
AT4G14270	NA	NA
AT4G15610	NA	NA
AT4G16520	AUTOPHAGY 8F (ATG8F)	No
AT4G18430	RAB GTPASE HOMOLOG A1E (RABA1e)	No
AT4G23680	NA	NA
AT4G24110	NA	NA
AT4G25310	NA	NA
AT4G27260	(WES1)	No
AT4G27450	NA	NA
AT4G28040	NA	NA
AT4G28270	RING MEMBRANE-ANCHOR 2 (RMA2)	No
AT4G32480	NA	NA
AT4G33070	NA	NA
AT4G33880	ROOT HAIR DEFECTIVE 6-LIKE 2 (RSL2)	No
AT4G36410	UBIQUITIN-CONJUGATING ENZYME 17 (UBC17)	No
AT4G36850	NA	NA
AT4G36880	CYSTEINE PROTEINASE1 (CP1)	No
AT4G37800	XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 7 (XTH7)	No
AT4G40070	NA	NA
AT5G02020	SALT INDUCED SERINE RICH (SIS)	No
AT5G04530	3-KETOACYL-COA SYNTHASE 19 (KCS19)	No
AT5G05480	NA	NA
AT5G05690	CONSTITUTIVE PHOTOMORPHOGENIC DWARF (CPD)	No
AT5G07440	GLUTAMATE DEHYDROGENASE 2 (GDH2)	No
AT5G10250	DEFECTIVELY ORGANIZED TRIBUTARIES 3 (DOT3)	No
AT5G11580	NA	NA
AT5G13080	WRKY DNA-BINDING PROTEIN 75 (WRKY75)	No
AT5G14120	NA	NA
AT5G15120	NA	NA
AT5G15290	CASPARIAN STRIP MEMBRANE DOMAIN PROTEIN 5 (CASP5)	No
AT5G15830	BASIC LEUCINE-ZIPPER 3 (bZIP3)	No
AT5G18650	NA	NA
AT5G19120	NA	NA
AT5G20250	DARK INDUCIBLE 10 (DIN10)	No
AT5G21170	(AKINBETA1)	No
AT5G21940	NA	NA
AT5G22920	NA	NA
AT5G23810	AMINO ACID PERMEASE 7 (AAP7)	No
AT5G24490	NA	NA
AT5G25280	NA	NA
AT5G25810	TINY (tny)	No
AT5G28300	NA	NA
AT5G28770	(BZO2H3)	No
AT5G35790	GLUCOSE-6-PHOSPHATE DEHYDROGENASE 1 (G6PD1)	No
AT5G37930	NA	NA
AT5G39080	NA	NA
AT5G39890	NA	NA
AT5G40020	NA	NA
AT5G40780	LYSINE HISTIDINE TRANSPORTER 1 (LHT1)	No
AT5G43920	NA	NA
AT5G44572	NA	NA
AT5G44730	NA	NA
AT5G49360	BETA-XYLOSIDASE 1 (BXL1)	No
AT5G50200	WOUND-RESPONSIVE 3 (WR3)	No
AT5G50760	NA	NA
AT5G51550	EXORDIUM LIKE 3 (EXL3)	No
AT5G54510	DWARF IN LIGHT 1 (DFL1)	No
AT5G56550	OXIDATIVE STRESS 3 (OXS3)	No
AT5G56870	BETA-GALACTOSIDASE 4 (BGAL4)	No
AT5G57150	NA	NA
AT5G57550	XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 25 (XTH25)	No
AT5G57565	NA	NA
AT5G57780	P1R1 (P1R1)	No
AT5G58787	NA	NA
AT5G59420	OSBP(OXYSTEROL BINDING PROTEIN)-RELATED PROTEIN 3C (ORP3C)	No
AT5G59780	MYB DOMAIN PROTEIN 59 (MYB59)	No
AT5G62930	NA	NA
AT5G65480	NA	NA
AT5G65640	BETA HLH PROTEIN 93 (bHLH093)	No
AT5G66880	SUCROSE NONFERMENTING 1(SNF1)-RELATED PROTEIN KINASE 2.3 (SNRK2.3)	No
AT5G67420	LOB DOMAIN-CONTAINING PROTEIN 37 (LBD37)	No
AT1G01500	NA	NA
AT1G08090	NITRATE TRANSPORTER 2:1 (NRT2:1)	No
AT1G08720	ENHANCED DISEASE RESISTANCE 1 (EDR1)	No
AT1G08890	NA	NA
AT1G09240	NICOTIANAMINE SYNTHASE 3 (NAS3)	No
